mode,variant,model,year,n,events,prevalence,ap,ap_lift,estimable,top20_k,top20_tp
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2017,109,13,0.11926605504587157,0.3037659392230515,0.18449988417717994,True,22,5
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2018,122,98,0.8032786885245902,0.9123150875687851,0.10903639904419493,True,25,25
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2019,84,27,0.32142857142857145,0.5367761638041315,0.21534759237556006,True,17,10
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2020,106,38,0.3584905660377358,0.5113863573867324,0.1528957913489966,True,22,10
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2021,105,33,0.3142857142857143,0.5484984701642447,0.2342127558785304,True,21,12
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2022,105,71,0.6761904761904762,0.8251409719102115,0.1489504957197353,True,21,17
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2023,80,14,0.175,0.3018120351583084,0.1268120351583084,True,16,3
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2024,91,16,0.17582417582417584,0.23854400741878268,0.06271983159460684,True,19,4
common_rows,fixedpre_protocol_mean,current_only,2005,129,94,0.7286821705426356,0.8399919486995026,0.11130977815686693,True,26,22
common_rows,fixedpre_protocol_mean,current_only,2006,100,13,0.13,0.3865709922519326,0.2565709922519326,True,20,8
common_rows,fixedpre_protocol_mean,current_only,2007,137,44,0.32116788321167883,0.598872116268123,0.27770423305644415,True,28,18
common_rows,fixedpre_protocol_mean,current_only,2008,140,29,0.20714285714285716,0.46545991796179176,0.2583170608189346,True,28,13
common_rows,fixedpre_protocol_mean,current_only,2009,143,73,0.5104895104895105,0.5888101854118261,0.07832067492231554,True,29,16
common_rows,fixedpre_protocol_mean,current_only,2010,142,68,0.4788732394366197,0.6357764491360307,0.15690320969941102,True,29,20
common_rows,fixedpre_protocol_mean,current_only,2011,94,32,0.3404255319148936,0.5846907234509127,0.24426519153601906,True,19,12
common_rows,fixedpre_protocol_mean,current_only,2012,99,17,0.1717171717171717,0.7408693999286186,0.5691522282114468,True,20,12
common_rows,fixedpre_protocol_mean,current_only,2013,138,102,0.7391304347826086,0.8559490333725759,0.11681859858996724,True,28,25
common_rows,fixedpre_protocol_mean,current_only,2014,129,51,0.3953488372093023,0.5698055342926673,0.17445669708336503,True,26,17
common_rows,fixedpre_protocol_mean,current_only,2015,115,60,0.5217391304347826,0.7392136328203057,0.21747450238552313,True,23,19
common_rows,fixedpre_protocol_mean,current_only,2016,97,32,0.32989690721649484,0.5578127784109602,0.22791587119446538,True,20,11
common_rows,fixedpre_protocol_mean,current_only,2017,109,17,0.1559633027522936,0.28220538672969675,0.12624208397740316,True,22,5
common_rows,fixedpre_protocol_mean,current_only,2018,122,91,0.7459016393442623,0.8133040641055043,0.06740242476124192,True,25,23
common_rows,fixedpre_protocol_mean,current_only,2019,84,24,0.2857142857142857,0.4752534023341227,0.18953911661983702,True,17,11
common_rows,fixedpre_protocol_mean,current_only,2020,106,41,0.3867924528301887,0.40517617663252425,0.01838372380233555,True,22,8
common_rows,fixedpre_protocol_mean,current_only,2021,105,33,0.3142857142857143,0.43298161742061175,0.11869590313489747,True,21,12
common_rows,fixedpre_protocol_mean,current_only,2022,105,73,0.6952380952380952,0.8070794372860364,0.11184134204794116,True,21,19
common_rows,fixedpre_protocol_mean,current_only,2023,80,14,0.175,0.21928861158933866,0.04428861158933867,True,16,3
common_rows,fixedpre_protocol_mean,current_only,2024,91,18,0.1978021978021978,0.2681067687132958,0.07030457091109801,True,19,4
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2005,129,94,0.7286821705426356,0.8688671178290047,0.1401849472863691,True,26,24
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2006,100,13,0.13,0.3893606158093672,0.2593606158093672,True,20,8
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2007,137,44,0.32116788321167883,0.6001178658866451,0.27894998267496623,True,28,19
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2008,140,29,0.20714285714285716,0.4770432563094617,0.2699003991666046,True,28,13
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2009,143,73,0.5104895104895105,0.5173536713981346,0.006864160908624073,True,29,15
