cell_id,year,region_group,eligible_primary,event_primary,annual_area_m2_primary,eligible_variant,event_variant,annual_area_m2_variant,variant
westcoast_0016,2012,Washington outer coast,True,0,157752.0,True,1,63698.5,fixedpre_protocol_mean
westcoast_0017,2008,Washington outer coast,True,0,49884.0,True,1,29288.0,fixedpre_protocol_mean
westcoast_0017,2013,Washington outer coast,True,1,15499.0,True,0,6102.75,fixedpre_protocol_mean
westcoast_0018,2016,Washington outer coast,True,1,86371.0,True,0,27957.5,fixedpre_protocol_mean
westcoast_0018,2019,Washington outer coast,True,1,129385.0,True,0,36114.0,fixedpre_protocol_mean
westcoast_0022,2012,Washington outer coast,True,0,69749.0,True,1,39923.0,fixedpre_protocol_mean
westcoast_0022,2021,Washington outer coast,True,0,19250.0,True,1,10215.5,fixedpre_protocol_mean
westcoast_0038,2013,Oregon,True,1,342212.0,True,0,94398.75,fixedpre_protocol_mean
westcoast_0039,2011,Oregon,True,0,11100.0,True,1,6872.25,fixedpre_protocol_mean
westcoast_0044,2011,Oregon,True,1,6068.0,True,0,2426.25,fixedpre_protocol_mean
westcoast_0044,2013,Oregon,True,0,16525.0,True,1,9136.75,fixedpre_protocol_mean
westcoast_0046,2019,Oregon,True,0,5456.0,True,1,3423.0,fixedpre_protocol_mean
westcoast_0074,2008,Northern California,True,0,41816.0,True,1,20115.25,fixedpre_protocol_mean
westcoast_0078,2012,Northern California,True,0,179838.0,True,1,76872.5,fixedpre_protocol_mean
westcoast_0081,2005,Northern California,True,0,18255.0,True,1,7792.25,fixedpre_protocol_mean
westcoast_0082,2012,Northern California,True,0,953877.0,True,1,450232.25,fixedpre_protocol_mean
westcoast_0084,2010,Northern California,True,1,43986.0,True,0,15774.25,fixedpre_protocol_mean
westcoast_0084,2016,Northern California,True,0,9513.0,True,1,3713.25,fixedpre_protocol_mean
westcoast_0090,2009,Northern California,True,0,74948.0,True,1,38633.5,fixedpre_protocol_mean
westcoast_0107,2015,Central California,True,0,345828.0,True,1,137820.5,fixedpre_protocol_mean
westcoast_0107,2018,Central California,True,1,249221.0,True,0,94771.75,fixedpre_protocol_mean
westcoast_0107,2024,Central California,True,0,167080.0,True,1,71719.25,fixedpre_protocol_mean
westcoast_0108,2005,Central California,True,0,1512648.0,True,1,710352.75,fixedpre_protocol_mean
westcoast_0112,2005,Central California,True,0,1823473.0,True,1,914863.25,fixedpre_protocol_mean
westcoast_0112,2006,Central California,True,1,1432589.0,True,0,565385.5,fixedpre_protocol_mean
westcoast_0113,2005,Central California,True,0,1620615.0,True,1,715700.75,fixedpre_protocol_mean
westcoast_0113,2013,Central California,True,0,1756557.0,True,1,713944.5,fixedpre_protocol_mean
westcoast_0113,2015,Central California,True,1,1059371.0,True,0,411023.25,fixedpre_protocol_mean
westcoast_0115,2005,Central California,True,0,650033.0,True,1,328649.0,fixedpre_protocol_mean
westcoast_0115,2020,Central California,True,0,515852.0,True,1,233002.5,fixedpre_protocol_mean
westcoast_0119,2005,Central California,True,0,335321.0,True,1,136521.75,fixedpre_protocol_mean
westcoast_0120,2016,Central California,True,1,489712.0,True,0,193104.25,fixedpre_protocol_mean
westcoast_0124,2005,Central California,True,0,123497.0,True,1,41172.25,fixedpre_protocol_mean
westcoast_0125,2020,Central California,True,0,214989.0,True,1,87735.0,fixedpre_protocol_mean
westcoast_0126,2009,Central California,True,0,1972601.0,True,1,853042.75,fixedpre_protocol_mean
westcoast_0126,2013,Central California,True,0,1172336.0,True,1,577482.25,fixedpre_protocol_mean
westcoast_0127,2013,Central California,True,0,706955.0,True,1,306881.5,fixedpre_protocol_mean
westcoast_0128,2005,Central California,True,0,684286.0,True,1,324714.5,fixedpre_protocol_mean
westcoast_0128,2008,Central California,True,1,1131541.0,True,0,355530.75,fixedpre_protocol_mean
westcoast_0128,2009,Central California,True,0,786800.0,True,1,370020.75,fixedpre_protocol_mean
westcoast_0129,2005,Central California,True,0,174507.0,True,1,84383.75,fixedpre_protocol_mean
westcoast_0129,2006,Central California,True,1,122728.0,True,0,31947.0,fixedpre_protocol_mean
westcoast_0129,2008,Central California,True,1,134813.0,True,0,39496.25,fixedpre_protocol_mean
westcoast_0132,2016,Central California,True,0,231457.0,True,1,114395.75,fixedpre_protocol_mean
