outcome_definition,model,forecast_year,n,events,prevalence,average_precision,ap_lift,recall_top_5pct,recall_top_10pct,recall_top_20pct,recall_top_30pct
annual_max_decline_sensitivity,prior_current,2009,160,40,0.25,0.5085627134872788,0.2585627134872788,0.15,0.275,0.45,0.55
annual_max_decline_sensitivity,prior_current,2010,159,79,0.4968553459119497,0.6060532137771595,0.1091978678652098,0.0379746835443038,0.11392405063291139,0.21518987341772153,0.3670886075949367
annual_max_decline_sensitivity,prior_current,2011,157,77,0.49044585987261147,0.6582030150480642,0.16775715517545275,0.07792207792207792,0.15584415584415584,0.2987012987012987,0.4155844155844156
annual_max_decline_sensitivity,prior_current,2012,140,51,0.36428571428571427,0.5597101373808908,0.19542442309517655,0.0784313725490196,0.17647058823529413,0.37254901960784315,0.47058823529411764
annual_max_decline_sensitivity,prior_current,2013,144,26,0.18055555555555555,0.4829660789961684,0.3024105234406128,0.19230769230769232,0.3076923076923077,0.5384615384615384,0.6538461538461539
annual_max_decline_sensitivity,prior_current,2014,151,95,0.6291390728476821,0.7311778887910907,0.10203881594340858,0.06315789473684211,0.1368421052631579,0.2631578947368421,0.3894736842105263
annual_max_decline_sensitivity,prior_current,2015,132,52,0.3939393939393939,0.5486369669177754,0.1546975729783815,0.07692307692307693,0.19230769230769232,0.36538461538461536,0.4230769230769231
annual_max_decline_sensitivity,prior_current,2016,108,53,0.49074074074074076,0.7463023079517541,0.25556156721101336,0.11320754716981132,0.20754716981132076,0.32075471698113206,0.4339622641509434
annual_max_decline_sensitivity,prior_current,2017,108,37,0.3425925925925926,0.6448209565139773,0.3022283639213847,0.13513513513513514,0.24324324324324326,0.40540540540540543,0.5135135135135135
annual_max_decline_sensitivity,prior_current,2018,122,17,0.13934426229508196,0.2161658967927149,0.07682163449763293,0.058823529411764705,0.23529411764705882,0.35294117647058826,0.4117647058823529
annual_max_decline_sensitivity,prior_current,2019,134,104,0.7761194029850746,0.8732561231455335,0.09713672016045882,0.0673076923076923,0.1346153846153846,0.25961538461538464,0.34615384615384615
annual_max_decline_sensitivity,prior_current,2020,93,29,0.3118279569892473,0.5814123286128853,0.26958437162363796,0.13793103448275862,0.3103448275862069,0.4482758620689655,0.5172413793103449
annual_max_decline_sensitivity,prior_current,2021,117,41,0.3504273504273504,0.4143322566978065,0.06390490627045609,0.07317073170731707,0.12195121951219512,0.21951219512195122,0.3170731707317073
annual_max_decline_sensitivity,prior_current,2022,117,38,0.3247863247863248,0.47984010640058816,0.15505378161426336,0.05263157894736842,0.15789473684210525,0.39473684210526316,0.5263157894736842
annual_max_decline_sensitivity,prior_current,2023,110,74,0.6727272727272727,0.8451067916336338,0.17237951890636105,0.08108108108108109,0.14864864864864866,0.2702702702702703,0.4189189189189189
annual_max_decline_sensitivity,prior_current,2024,87,14,0.16091954022988506,0.2501762738330914,0.08925673360320632,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.42857142857142855
annual_max_decline_sensitivity,prior_trajectory,2005,150,44,0.29333333333333333,0.36868698227324004,0.0753536489399067,0.045454545454545456,0.18181818181818182,0.36363636363636365,0.4318181818181818
annual_max_decline_sensitivity,prior_trajectory,2006,143,89,0.6223776223776224,0.7823605709449274,0.159982948567305,0.0898876404494382,0.15730337078651685,0.2696629213483146,0.39325842696629215
annual_max_decline_sensitivity,prior_trajectory,2007,133,19,0.14285714285714285,0.5492231634582441,0.4063660206011012,0.2631578947368421,0.42105263157894735,0.7368421052631579,0.7368421052631579
annual_max_decline_sensitivity,prior_trajectory,2008,158,47,0.2974683544303797,0.573600496574246,0.27613214214386633,0.10638297872340426,0.2765957446808511,0.44680851063829785,0.5957446808510638
annual_max_decline_sensitivity,prior_trajectory,2009,160,40,0.25,0.5261168140477414,0.27611681404774135,0.15,0.3,0.475,0.55
annual_max_decline_sensitivity,prior_trajectory,2010,159,79,0.4968553459119497,0.5630218142065113,0.06616646829456163,0.0379746835443038,0.11392405063291139,0.22784810126582278,0.35443037974683544
annual_max_decline_sensitivity,prior_trajectory,2011,157,77,0.49044585987261147,0.6653723538522658,0.17492649397965432,0.06493506493506493,0.15584415584415584,0.2727272727272727,0.42857142857142855
annual_max_decline_sensitivity,prior_trajectory,2012,140,51,0.36428571428571427,0.5188536476512841,0.1545679333655698,0.058823529411764705,0.1568627450980392,0.3137254901960784,0.43137254901960786
annual_max_decline_sensitivity,prior_trajectory,2013,144,26,0.18055555555555555,0.45945460347710765,0.27889904792155207,0.19230769230769232,0.3076923076923077,0.5769230769230769,0.6153846153846154
annual_max_decline_sensitivity,prior_trajectory,2014,151,95,0.6291390728476821,0.7192191107484053,0.09008003790072316,0.06315789473684211,0.1368421052631579,0.22105263157894736,0.3684210526315789
annual_max_decline_sensitivity,prior_trajectory,2015,132,52,0.3939393939393939,0.5222506321726028,0.1283112382332089,0.07692307692307693,0.19230769230769232,0.36538461538461536,0.4230769230769231
annual_max_decline_sensitivity,prior_trajectory,2016,108,53,0.49074074074074076,0.7185515793533828,0.227810838612642,0.11320754716981132,0.20754716981132076,0.32075471698113206,0.41509433962264153
annual_max_decline_sensitivity,prior_trajectory,2017,108,37,0.3425925925925926,0.6641423852724211,0.32154979267982847,0.10810810810810811,0.21621621621621623,0.43243243243243246,0.5945945945945946
annual_max_decline_sensitivity,prior_trajectory,2018,122,17,0.13934426229508196,0.26983547194892965,0.1304912096538477,0.11764705882352941,0.23529411764705882,0.29411764705882354,0.47058823529411764
annual_max_decline_sensitivity,prior_trajectory,2019,134,104,0.7761194029850746,0.8991362128030272,0.1230168098179526,0.0673076923076923,0.1346153846153846,0.25961538461538464,0.375
annual_max_decline_sensitivity,prior_trajectory,2020,93,29,0.3118279569892473,0.6350650016264601,0.32323704463721276,0.13793103448275862,0.27586206896551724,0.5172413793103449,0.6551724137931034
annual_max_decline_sensitivity,prior_trajectory,2021,117,41,0.3504273504273504,0.46728559787496504,0.11685824744761464,0.0975609756097561,0.17073170731707318,0.2926829268292683,0.34146341463414637
annual_max_decline_sensitivity,prior_trajectory,2022,117,38,0.3247863247863248,0.5135642942732335,0.18877796948690867,0.07894736842105263,0.18421052631578946,0.3684210526315789,0.4473684210526316
annual_max_decline_sensitivity,prior_trajectory,2023,110,74,0.6727272727272727,0.878268432267876,0.20554115954060326,0.08108108108108109,0.13513513513513514,0.2702702702702703,0.3918918918918919
annual_max_decline_sensitivity,prior_trajectory,2024,87,14,0.16091954022988506,0.35985368571964327,0.1989341454897582,0.14285714285714285,0.21428571428571427,0.42857142857142855,0.5714285714285714
q23_year_over_year_decline,december_plus_prior_winter_oisst,2005,145,45,0.3103448275862069,0.3639441695410278,0.05359934195482091,0.044444444444444446,0.15555555555555556,0.3333333333333333,0.4222222222222222
q23_year_over_year_decline,december_plus_prior_winter_oisst,2006,136,88,0.6470588235294118,0.7717134783326092,0.12465465480319737,0.07954545454545454,0.14772727272727273,0.25,0.36363636363636365
q23_year_over_year_decline,december_plus_prior_winter_oisst,2007,108,20,0.18518518518518517,0.6006342365270022,0.41544905134181703,0.2,0.4,0.6,0.75
q23_year_over_year_decline,december_plus_prior_winter_oisst,2008,153,48,0.3137254901960784,0.605677843853738,0.2919523536576596,0.125,0.2708333333333333,0.5,0.5416666666666666
q23_year_over_year_decline,december_plus_prior_winter_oisst,2009,152,43,0.28289473684210525,0.47956916598720023,0.19667442914509498,0.13953488372093023,0.2558139534883721,0.3953488372093023,0.46511627906976744
