spec_id,domain,model,n,events,prevalence,pooled_ap,macro_year_ap_lift,estimable_years,top20_recall_micro
g05_area_scaled_oy50,oisst_matched_domain,trajectory_plus_oisst,5320,2140,0.40225563909774437,0.5731122274268772,0.1750263225783772,20,0.308411214953271
g05_fixed_500_o00,full_kelp_domain,current_only,3833,1508,0.3934255152621967,0.58130538989213,0.17441252740196705,20,0.3103448275862069
g05_fixed_500_o00,full_kelp_domain,current_plus_trajectory,3833,1508,0.3934255152621967,0.5965363639260982,0.1977094316817725,20,0.31432360742705573
g05_fixed_500_o00,oisst_matched_domain,current_only,3833,1508,0.3934255152621967,0.58130538989213,0.17441252740196705,20,0.3103448275862069
g05_fixed_500_o00,oisst_matched_domain,current_plus_trajectory,3833,1508,0.3934255152621967,0.5965363639260982,0.1977094316817725,20,0.31432360742705573
g05_fixed_500_o00,oisst_matched_domain,trajectory_plus_oisst,3833,1508,0.3934255152621967,0.568900394667964,0.17879967829833132,20,0.3083554376657825
g05_fixed_500_ox50,full_kelp_domain,current_only,3681,1472,0.3998913338766639,0.5885338477728042,0.17940980641150972,20,0.30502717391304346
g05_fixed_500_ox50,full_kelp_domain,current_plus_trajectory,3681,1472,0.3998913338766639,0.5956851030063175,0.1977369660382034,20,0.3077445652173913
g05_fixed_500_ox50,oisst_matched_domain,current_only,3681,1472,0.3998913338766639,0.5885338477728042,0.17940980641150972,20,0.30502717391304346
g05_fixed_500_ox50,oisst_matched_domain,current_plus_trajectory,3681,1472,0.3998913338766639,0.5956851030063175,0.1977369660382034,20,0.3077445652173913
g05_fixed_500_ox50,oisst_matched_domain,trajectory_plus_oisst,3681,1472,0.3998913338766639,0.5718449597002336,0.18187835765177712,20,0.30366847826086957
g05_fixed_500_oxy50,full_kelp_domain,current_only,3644,1466,0.40230515916575194,0.5819454661800594,0.17125526814301933,20,0.30900409276944063
g05_fixed_500_oxy50,full_kelp_domain,current_plus_trajectory,3644,1466,0.40230515916575194,0.5981289405474943,0.1972929109214508,20,0.31036834924965895
g05_fixed_500_oxy50,oisst_matched_domain,current_only,3644,1466,0.40230515916575194,0.5819454661800594,0.17125526814301933,20,0.30900409276944063
g05_fixed_500_oxy50,oisst_matched_domain,current_plus_trajectory,3644,1466,0.40230515916575194,0.5981289405474943,0.1972929109214508,20,0.31036834924965895
g05_fixed_500_oxy50,oisst_matched_domain,trajectory_plus_oisst,3644,1466,0.40230515916575194,0.5698682502011038,0.17671433041976586,20,0.3015006821282401
g05_fixed_500_oy50,full_kelp_domain,current_only,3636,1455,0.40016501650165015,0.5893738904560082,0.16813162698015016,20,0.3120274914089347
g05_fixed_500_oy50,full_kelp_domain,current_plus_trajectory,3636,1455,0.40016501650165015,0.6042419150213056,0.18837086216821913,20,0.3127147766323024
g05_fixed_500_oy50,oisst_matched_domain,current_only,3636,1455,0.40016501650165015,0.5893738904560082,0.16813162698015016,20,0.3120274914089347
g05_fixed_500_oy50,oisst_matched_domain,current_plus_trajectory,3636,1455,0.40016501650165015,0.6042419150213056,0.18837086216821913,20,0.3127147766323024
