spec_id,domain,model,year,n,events,prevalence,ap,ap_lift,estimable,top20_k,top20_tp
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2011,288,119,0.4131944444444444,0.5414613595728152,0.12826691512837074,True,58,31
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2012,288,71,0.2465277777777778,0.5467288171225881,0.30020103934481035,True,58,34
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2013,337,214,0.6350148367952523,0.7625502899444705,0.12753545314921821,True,68,53
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2014,303,123,0.40594059405940597,0.5596063693920511,0.15366577533264514,True,61,40
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2015,249,125,0.5020080321285141,0.6096987222376633,0.10769069010914922,True,50,33
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2016,225,79,0.3511111111111111,0.5736037627175545,0.22249265160644344,True,45,32
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2017,254,52,0.2047244094488189,0.32791243679566706,0.12318802734684817,True,51,16
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2018,275,212,0.7709090909090909,0.8613315508094019,0.09042245990031106,True,55,52
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2019,201,55,0.2736318407960199,0.5135769504014708,0.2399451096054509,True,41,26
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2020,239,96,0.401673640167364,0.5054891867232091,0.10381554655584507,True,48,21
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2021,237,92,0.3881856540084388,0.5258296881660601,0.13764403415762133,True,48,26
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2022,227,145,0.6387665198237885,0.8669249273723126,0.22815840754852412,True,46,41
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2023,181,28,0.15469613259668508,0.39909646036664714,0.24440032776996207,True,37,13
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2024,211,62,0.2938388625592417,0.4252505978436931,0.13141173528445144,True,43,17
g05_area_scaled_ox50,oisst_matched_domain,current_only,2005,304,172,0.5657894736842105,0.7441420875801548,0.17835261389594426,True,61,51
g05_area_scaled_ox50,oisst_matched_domain,current_only,2006,279,55,0.1971326164874552,0.44213702256852494,0.24500440608106974,True,56,26
g05_area_scaled_ox50,oisst_matched_domain,current_only,2007,325,89,0.27384615384615385,0.4995320473727351,0.22568589352658125,True,65,33
g05_area_scaled_ox50,oisst_matched_domain,current_only,2008,325,99,0.3046153846153846,0.5345396895467177,0.2299243049313331,True,65,39
g05_area_scaled_ox50,oisst_matched_domain,current_only,2009,335,164,0.48955223880597015,0.5885345773278634,0.09898233852189325,True,67,40
g05_area_scaled_ox50,oisst_matched_domain,current_only,2010,325,155,0.47692307692307695,0.6778048351393007,0.20088175821622373,True,65,47
g05_area_scaled_ox50,oisst_matched_domain,current_only,2011,282,113,0.40070921985815605,0.5313379024385296,0.13062868258037358,True,57,31
g05_area_scaled_ox50,oisst_matched_domain,current_only,2012,285,71,0.24912280701754386,0.531861879186894,0.2827390721693501,True,57,31
g05_area_scaled_ox50,oisst_matched_domain,current_only,2013,331,211,0.6374622356495468,0.7631893039186417,0.12572706826909485,True,67,56
g05_area_scaled_ox50,oisst_matched_domain,current_only,2014,297,119,0.4006734006734007,0.5441285656567744,0.14345516498337368,True,60,38
g05_area_scaled_ox50,oisst_matched_domain,current_only,2015,245,124,0.5061224489795918,0.6194849685046361,0.11336251952504428,True,49,35
g05_area_scaled_ox50,oisst_matched_domain,current_only,2016,221,78,0.35294117647058826,0.5515289918722599,0.19858781540167164,True,45,28
g05_area_scaled_ox50,oisst_matched_domain,current_only,2017,249,52,0.20883534136546184,0.27986750242175173,0.0710321610562899,True,50,13
g05_area_scaled_ox50,oisst_matched_domain,current_only,2018,270,209,0.774074074074074,0.8229804805301897,0.04890640645611566,True,54,49
g05_area_scaled_ox50,oisst_matched_domain,current_only,2019,196,54,0.2755102040816326,0.5171642398066556,0.24165403572502298,True,40,24
g05_area_scaled_ox50,oisst_matched_domain,current_only,2020,233,92,0.3948497854077253,0.433290256350214,0.0384404709424887,True,47,18
g05_area_scaled_ox50,oisst_matched_domain,current_only,2021,233,89,0.38197424892703863,0.4829924717107335,0.10101822278369488,True,47,26
g05_area_scaled_ox50,oisst_matched_domain,current_only,2022,222,144,0.6486486486486487,0.8253708541185203,0.1767222054698716,True,45,43
g05_area_scaled_ox50,oisst_matched_domain,current_only,2023,175,25,0.14285714285714285,0.1822551053876209,0.03939796253047806,True,35,6
g05_area_scaled_ox50,oisst_matched_domain,current_only,2024,204,57,0.27941176470588236,0.37884362336748356,0.0994318586616012,True,41,14
g05_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,2005,304,172,0.5657894736842105,0.7464920877569191,0.1807026140727086,True,61,48
g05_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,2006,279,55,0.1971326164874552,0.5930713148271359,0.39593869833968076,True,56,30
g05_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,2007,325,89,0.27384615384615385,0.5247276910802444,0.25088153723409057,True,65,35
g05_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,2008,325,99,0.3046153846153846,0.5420531606257283,0.23743777601034366,True,65,42
g05_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,2009,335,164,0.48955223880597015,0.568695268439422,0.07914302963345182,True,67,40
g05_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,2010,325,155,0.47692307692307695,0.7090729537712168,0.23214987684813987,True,65,49
g05_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,2011,282,113,0.40070921985815605,0.5230117566380243,0.1223025367798683,True,57,30
g05_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,2012,285,71,0.24912280701754386,0.5451443765786858,0.2960215695611419,True,57,34
g05_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,2013,331,211,0.6374622356495468,0.7626826887500144,0.1252204531004676,True,67,52
g05_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,2014,297,119,0.4006734006734007,0.5500919893832893,0.1494185887098886,True,60,40
g05_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,2015,245,124,0.5061224489795918,0.6125896740204976,0.10646722504090578,True,49,33
g05_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,2016,221,78,0.35294117647058826,0.5727244282065912,0.21978325173600294,True,45,32
g05_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,2017,249,52,0.20883534136546184,0.32962943169787784,0.120794090332416,True,50,16
g05_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,2018,270,209,0.774074074074074,0.8619199093071932,0.08784583523311917,True,54,51
g05_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,2019,196,54,0.2755102040816326,0.5165589769289765,0.24104877284734383,True,40,25
g05_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,2020,233,92,0.3948497854077253,0.4938575331611693,0.09900774775344401,True,47,20
