spec_id,domain,year,train_start,train_end,n_train,events_train,n_test,events_test
g05_fixed_500_ox50,oisst_matched_domain,2008,1989,2007,3404,1334,227,66
g05_fixed_500_ox50,oisst_matched_domain,2009,1989,2008,3631,1400,229,108
g05_fixed_500_ox50,oisst_matched_domain,2010,1989,2009,3860,1508,225,108
g05_fixed_500_ox50,oisst_matched_domain,2011,1989,2010,4085,1616,196,77
g05_fixed_500_ox50,oisst_matched_domain,2012,1989,2011,4281,1693,200,41
g05_fixed_500_ox50,oisst_matched_domain,2013,1989,2012,4481,1734,229,150
g05_fixed_500_ox50,oisst_matched_domain,2014,1989,2013,4710,1884,200,71
g05_fixed_500_ox50,oisst_matched_domain,2015,1989,2014,4910,1955,171,84
g05_fixed_500_ox50,oisst_matched_domain,2016,1989,2015,5081,2039,158,58
g05_fixed_500_ox50,oisst_matched_domain,2017,1989,2016,5239,2097,170,30
g05_fixed_500_ox50,oisst_matched_domain,2018,1989,2017,5409,2127,188,155
g05_fixed_500_ox50,oisst_matched_domain,2019,1989,2018,5597,2282,129,32
g05_fixed_500_ox50,oisst_matched_domain,2020,1989,2019,5726,2314,158,61
g05_fixed_500_ox50,oisst_matched_domain,2021,1989,2020,5884,2375,159,60
g05_fixed_500_ox50,oisst_matched_domain,2022,1989,2021,6043,2435,158,106
g05_fixed_500_ox50,oisst_matched_domain,2023,1989,2022,6201,2541,116,14
g05_fixed_500_ox50,oisst_matched_domain,2024,1989,2023,6317,2555,136,32
g05_fixed_500_oy50,full_kelp_domain,2005,1989,2004,2818,1107,211,126
g05_fixed_500_oy50,full_kelp_domain,2006,1989,2005,3029,1233,185,28
g05_fixed_500_oy50,full_kelp_domain,2007,1989,2006,3214,1261,224,70
g05_fixed_500_oy50,full_kelp_domain,2008,1989,2007,3438,1331,227,72
g05_fixed_500_oy50,full_kelp_domain,2009,1989,2008,3665,1403,225,110
g05_fixed_500_oy50,full_kelp_domain,2010,1989,2009,3890,1513,222,112
g05_fixed_500_oy50,full_kelp_domain,2011,1989,2010,4112,1625,192,71
g05_fixed_500_oy50,full_kelp_domain,2012,1989,2011,4304,1696,199,37
g05_fixed_500_oy50,full_kelp_domain,2013,1989,2012,4503,1733,230,147
g05_fixed_500_oy50,full_kelp_domain,2014,1989,2013,4733,1880,202,79
g05_fixed_500_oy50,full_kelp_domain,2015,1989,2014,4935,1959,171,83
g05_fixed_500_oy50,full_kelp_domain,2016,1989,2015,5106,2042,155,56
g05_fixed_500_oy50,full_kelp_domain,2017,1989,2016,5261,2098,174,26
g05_fixed_500_oy50,full_kelp_domain,2018,1989,2017,5435,2124,188,148
g05_fixed_500_oy50,full_kelp_domain,2019,1989,2018,5623,2272,134,38
g05_fixed_500_oy50,full_kelp_domain,2020,1989,2019,5757,2310,154,54
g05_fixed_500_oy50,full_kelp_domain,2021,1989,2020,5911,2364,154,52
g05_fixed_500_oy50,full_kelp_domain,2022,1989,2021,6065,2416,148,105
g05_fixed_500_oy50,full_kelp_domain,2023,1989,2022,6213,2521,112,13
g05_fixed_500_oy50,full_kelp_domain,2024,1989,2023,6325,2534,129,28
g05_fixed_500_oy50,oisst_matched_domain,2005,1989,2004,2818,1107,211,126
g05_fixed_500_oy50,oisst_matched_domain,2006,1989,2005,3029,1233,185,28
g05_fixed_500_oy50,oisst_matched_domain,2007,1989,2006,3214,1261,224,70
g05_fixed_500_oy50,oisst_matched_domain,2008,1989,2007,3438,1331,227,72
g05_fixed_500_oy50,oisst_matched_domain,2009,1989,2008,3665,1403,225,110
g05_fixed_500_oy50,oisst_matched_domain,2010,1989,2009,3890,1513,222,112
g05_fixed_500_oy50,oisst_matched_domain,2011,1989,2010,4112,1625,192,71
g05_fixed_500_oy50,oisst_matched_domain,2012,1989,2011,4304,1696,199,37
g05_fixed_500_oy50,oisst_matched_domain,2013,1989,2012,4503,1733,230,147
g05_fixed_500_oy50,oisst_matched_domain,2014,1989,2013,4733,1880,202,79
g05_fixed_500_oy50,oisst_matched_domain,2015,1989,2014,4935,1959,171,83
g05_fixed_500_oy50,oisst_matched_domain,2016,1989,2015,5106,2042,155,56
g05_fixed_500_oy50,oisst_matched_domain,2017,1989,2016,5261,2098,174,26
g05_fixed_500_oy50,oisst_matched_domain,2018,1989,2017,5435,2124,188,148
g05_fixed_500_oy50,oisst_matched_domain,2019,1989,2018,5623,2272,134,38
g05_fixed_500_oy50,oisst_matched_domain,2020,1989,2019,5757,2310,154,54
g05_fixed_500_oy50,oisst_matched_domain,2021,1989,2020,5911,2364,154,52
g05_fixed_500_oy50,oisst_matched_domain,2022,1989,2021,6065,2416,148,105
g05_fixed_500_oy50,oisst_matched_domain,2023,1989,2022,6213,2521,112,13
g05_fixed_500_oy50,oisst_matched_domain,2024,1989,2023,6325,2534,129,28
g05_fixed_500_oxy50,full_kelp_domain,2005,1989,2004,2740,1091,206,130
g05_fixed_500_oxy50,full_kelp_domain,2006,1989,2005,2946,1221,184,25
g05_fixed_500_oxy50,full_kelp_domain,2007,1989,2006,3130,1246,223,67
g05_fixed_500_oxy50,full_kelp_domain,2008,1989,2007,3353,1313,223,66
g05_fixed_500_oxy50,full_kelp_domain,2009,1989,2008,3576,1379,224,101
g05_fixed_500_oxy50,full_kelp_domain,2010,1989,2009,3800,1480,225,120
g05_fixed_500_oxy50,full_kelp_domain,2011,1989,2010,4025,1600,191,68
g05_fixed_500_oxy50,full_kelp_domain,2012,1989,2011,4216,1668,201,41
g05_fixed_500_oxy50,full_kelp_domain,2013,1989,2012,4417,1709,229,148
g05_fixed_500_oxy50,full_kelp_domain,2014,1989,2013,4646,1857,201,74
g05_fixed_500_oxy50,full_kelp_domain,2015,1989,2014,4847,1931,176,79
g05_fixed_500_oxy50,full_kelp_domain,2016,1989,2015,5023,2010,159,59
g05_fixed_500_oxy50,full_kelp_domain,2017,1989,2016,5182,2069,173,31
g05_fixed_500_oxy50,full_kelp_domain,2018,1989,2017,5355,2100,185,155
g05_fixed_500_oxy50,full_kelp_domain,2019,1989,2018,5540,2255,132,36
g05_fixed_500_oxy50,full_kelp_domain,2020,1989,2019,5672,2291,153,53
g05_fixed_500_oxy50,full_kelp_domain,2021,1989,2020,5825,2344,160,60
g05_fixed_500_oxy50,full_kelp_domain,2022,1989,2021,5985,2404,152,105
g05_fixed_500_oxy50,full_kelp_domain,2023,1989,2022,6137,2509,113,15
g05_fixed_500_oxy50,full_kelp_domain,2024,1989,2023,6250,2524,134,33
g05_fixed_500_oxy50,oisst_matched_domain,2005,1989,2004,2740,1091,206,130
g05_fixed_500_oxy50,oisst_matched_domain,2006,1989,2005,2946,1221,184,25
g05_fixed_500_oxy50,oisst_matched_domain,2007,1989,2006,3130,1246,223,67
g05_fixed_500_oxy50,oisst_matched_domain,2008,1989,2007,3353,1313,223,66
g05_fixed_500_oxy50,oisst_matched_domain,2009,1989,2008,3576,1379,224,101
g05_fixed_500_oxy50,oisst_matched_domain,2010,1989,2009,3800,1480,225,120
g05_fixed_500_oxy50,oisst_matched_domain,2011,1989,2010,4025,1600,191,68
g05_fixed_500_oxy50,oisst_matched_domain,2012,1989,2011,4216,1668,201,41
g05_fixed_500_oxy50,oisst_matched_domain,2013,1989,2012,4417,1709,229,148
g05_fixed_500_oxy50,oisst_matched_domain,2014,1989,2013,4646,1857,201,74
g05_fixed_500_oxy50,oisst_matched_domain,2015,1989,2014,4847,1931,176,79
g05_fixed_500_oxy50,oisst_matched_domain,2016,1989,2015,5023,2010,159,59
g05_fixed_500_oxy50,oisst_matched_domain,2017,1989,2016,5182,2069,173,31
g05_fixed_500_oxy50,oisst_matched_domain,2018,1989,2017,5355,2100,185,155
g05_fixed_500_oxy50,oisst_matched_domain,2019,1989,2018,5540,2255,132,36
g05_fixed_500_oxy50,oisst_matched_domain,2020,1989,2019,5672,2291,153,53
g05_fixed_500_oxy50,oisst_matched_domain,2021,1989,2020,5825,2344,160,60
g05_fixed_500_oxy50,oisst_matched_domain,2022,1989,2021,5985,2404,152,105
g05_fixed_500_oxy50,oisst_matched_domain,2023,1989,2022,6137,2509,113,15
g05_fixed_500_oxy50,oisst_matched_domain,2024,1989,2023,6250,2524,134,33
g10_area_scaled_o00,full_kelp_domain,2005,1989,2004,1972,797,145,88
g10_area_scaled_o00,full_kelp_domain,2006,1989,2005,2117,885,133,19
g10_area_scaled_o00,full_kelp_domain,2007,1989,2006,2250,904,157,43
g10_area_scaled_o00,full_kelp_domain,2008,1989,2007,2407,947,159,39
g10_area_scaled_o00,full_kelp_domain,2009,1989,2008,2566,986,160,77
g10_area_scaled_o00,full_kelp_domain,2010,1989,2009,2726,1063,156,78
g10_area_scaled_o00,full_kelp_domain,2011,1989,2010,2882,1141,137,55
g10_area_scaled_o00,full_kelp_domain,2012,1989,2011,3019,1196,144,27
g10_area_scaled_o00,full_kelp_domain,2013,1989,2012,3163,1223,159,99
g10_area_scaled_o00,full_kelp_domain,2014,1989,2013,3322,1322,142,55
g10_area_scaled_o00,full_kelp_domain,2015,1989,2014,3464,1377,119,60
g10_area_scaled_o00,full_kelp_domain,2016,1989,2015,3583,1437,110,34
g10_area_scaled_o00,full_kelp_domain,2017,1989,2016,3693,1471,122,15
g10_area_scaled_o00,full_kelp_domain,2018,1989,2017,3815,1486,136,108
