C,l1_ratio,inner_macro_ap_lift,inner_rows,domain,year,model_family,feature_set
0.2,0.5,0.21807696847936678,925,full_oisst_domain,2008,elastic_net,trajectory_plus_oisst
1.0,1.0,0.21759765080160806,925,full_oisst_domain,2008,elastic_net,trajectory_plus_oisst
0.05,0.0,0.2172904302790898,925,full_oisst_domain,2008,elastic_net,trajectory_plus_oisst
0.05,1.0,0.21719569068887137,925,full_oisst_domain,2008,elastic_net,trajectory_plus_oisst
1.0,0.5,0.21714319707389654,925,full_oisst_domain,2008,elastic_net,trajectory_plus_oisst
0.05,0.5,0.2170520245961851,925,full_oisst_domain,2008,elastic_net,trajectory_plus_oisst
1.0,0.0,0.21678060098981108,925,full_oisst_domain,2008,elastic_net,trajectory_plus_oisst
0.2,0.0,0.21641607031514173,925,full_oisst_domain,2008,elastic_net,trajectory_plus_oisst
1.0,,0.28406057985372996,925,full_oisst_domain,2008,hierarchical_additive,current_only
0.2,,0.2719264056330402,925,full_oisst_domain,2008,hierarchical_additive,current_only
0.05,,0.26111970118191424,925,full_oisst_domain,2008,hierarchical_additive,current_only
0.2,,0.2843405026821177,925,full_oisst_domain,2008,hierarchical_additive,current_plus_trajectory
1.0,,0.28260884670743097,925,full_oisst_domain,2008,hierarchical_additive,current_plus_trajectory
0.05,,0.2821262709721158,925,full_oisst_domain,2008,hierarchical_additive,current_plus_trajectory
0.05,,0.23726868400797016,925,full_oisst_domain,2008,hierarchical_additive,trajectory_plus_oisst
0.2,,0.22952847831967715,925,full_oisst_domain,2008,hierarchical_additive,trajectory_plus_oisst
1.0,,0.222895006330609,925,full_oisst_domain,2008,hierarchical_additive,trajectory_plus_oisst
0.05,0.0,0.262130689682646,944,full_oisst_domain,2009,elastic_net,current_only
0.05,0.5,0.262130689682646,944,full_oisst_domain,2009,elastic_net,current_only
0.05,1.0,0.262130689682646,944,full_oisst_domain,2009,elastic_net,current_only
0.2,0.0,0.262130689682646,944,full_oisst_domain,2009,elastic_net,current_only
0.2,0.5,0.262130689682646,944,full_oisst_domain,2009,elastic_net,current_only
0.2,1.0,0.262130689682646,944,full_oisst_domain,2009,elastic_net,current_only
1.0,0.0,0.262130689682646,944,full_oisst_domain,2009,elastic_net,current_only
1.0,0.5,0.262130689682646,944,full_oisst_domain,2009,elastic_net,current_only
1.0,1.0,0.262130689682646,944,full_oisst_domain,2009,elastic_net,current_only
0.2,1.0,0.3265592941694391,944,full_oisst_domain,2009,elastic_net,current_plus_trajectory
0.05,0.5,0.32602607485848084,944,full_oisst_domain,2009,elastic_net,current_plus_trajectory
0.2,0.5,0.32522994729980353,944,full_oisst_domain,2009,elastic_net,current_plus_trajectory
0.05,1.0,0.32510224946311844,944,full_oisst_domain,2009,elastic_net,current_plus_trajectory
0.05,0.0,0.32445714448534063,944,full_oisst_domain,2009,elastic_net,current_plus_trajectory
1.0,1.0,0.3235818528428578,944,full_oisst_domain,2009,elastic_net,current_plus_trajectory
0.2,0.0,0.32321990588923927,944,full_oisst_domain,2009,elastic_net,current_plus_trajectory
1.0,0.5,0.32320799723695526,944,full_oisst_domain,2009,elastic_net,current_plus_trajectory
1.0,0.0,0.32262791478642844,944,full_oisst_domain,2009,elastic_net,current_plus_trajectory
0.2,1.0,0.2501007586023494,944,full_oisst_domain,2009,elastic_net,trajectory_plus_oisst
0.2,0.5,0.24960981697629156,944,full_oisst_domain,2009,elastic_net,trajectory_plus_oisst
1.0,1.0,0.24916274144343378,944,full_oisst_domain,2009,elastic_net,trajectory_plus_oisst
1.0,0.5,0.24889220448715074,944,full_oisst_domain,2009,elastic_net,trajectory_plus_oisst
1.0,0.0,0.2485002995843725,944,full_oisst_domain,2009,elastic_net,trajectory_plus_oisst
0.2,0.0,0.24830943567796493,944,full_oisst_domain,2009,elastic_net,trajectory_plus_oisst
0.05,0.0,0.24693007307684645,944,full_oisst_domain,2009,elastic_net,trajectory_plus_oisst
0.05,0.5,0.24309978576845537,944,full_oisst_domain,2009,elastic_net,trajectory_plus_oisst
