domain,model_family,feature_set,year,n,events,prevalence,ap,ap_lift
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2015,163,53,0.32515337423312884,0.556244226639349,0.23109085240622018
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2016,168,71,0.4226190476190476,0.6019477404512626,0.17932869283221503
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2017,175,36,0.2057142857142857,0.3100687528287146,0.10435446711442889
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2018,181,156,0.861878453038674,0.9179856800910601,0.05610722705238602
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2019,123,21,0.17073170731707318,0.2876466084682629,0.11691490115118972
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2020,156,56,0.358974358974359,0.39926303139674374,0.040288672422384764
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2021,161,46,0.2857142857142857,0.4098637885176627,0.124149502803377
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2022,160,126,0.7875,0.8808425832674579,0.09334258326745792
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2023,111,10,0.09009009009009009,0.3428085514940538,0.2527184614039637
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2024,138,39,0.2826086956521739,0.36588742382829376,0.08327872817611987
upwelling_supported_domain,hierarchical_additive,current_only,2005,207,129,0.6231884057971014,0.750164554838018,0.12697614904091659
upwelling_supported_domain,hierarchical_additive,current_only,2006,191,39,0.20418848167539266,0.6203825261242921,0.41619404444889946
upwelling_supported_domain,hierarchical_additive,current_only,2007,217,71,0.3271889400921659,0.5728907984993183,0.24570185840715242
upwelling_supported_domain,hierarchical_additive,current_only,2008,216,61,0.2824074074074074,0.5648098305208205,0.28240242311341307
upwelling_supported_domain,hierarchical_additive,current_only,2009,228,99,0.4342105263157895,0.5635312778854342,0.12932075156964473
upwelling_supported_domain,hierarchical_additive,current_only,2010,225,136,0.6044444444444445,0.7769203277965704,0.17247588335212594
