domain,model_family,feature_set,protocol,year,n,events,prevalence,average_precision,ap_lift,estimable,decline_threshold,canopy_cutoff
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2011,96,34,0.3541666666666667,0.5281501516961759,0.17398348502950917,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2012,98,13,0.1326530612244898,0.5224264495211732,0.3897733882966834,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2013,107,95,0.8878504672897196,0.914992129997801,0.027141662708081382,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2014,87,33,0.3793103448275862,0.5247822826319988,0.1454719378044126,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2015,72,24,0.3333333333333333,0.645815663765507,0.3124823304321737,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2016,76,37,0.4868421052631579,0.7734331662175427,0.28659106095438475,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2017,80,17,0.2125,0.3531694583016428,0.14066945830164282,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2018,82,73,0.8902439024390244,0.9476299247253277,0.057386022286303295,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2019,57,10,0.17543859649122806,0.23653008156579586,0.0610914850745678,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2020,77,32,0.4155844155844156,0.483429720610382,0.06784530502596636,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2021,83,25,0.30120481927710846,0.5765751075355192,0.27537028825841076,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2022,77,63,0.8181818181818182,0.8741350883780883,0.055953270196270055,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2023,53,5,0.09433962264150944,0.6058974358974358,0.5115578132559264,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2024,70,19,0.2714285714285714,0.48462502104648714,0.21319644961791573,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2005,89,63,0.7078651685393258,0.7958803428939176,0.08801517435459183,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2006,85,17,0.2,0.6524213518370625,0.4524213518370625,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2007,101,32,0.31683168316831684,0.4392735208581739,0.12244183768985706,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2008,103,34,0.3300970873786408,0.6118561483009282,0.28175906092228736,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2009,103,53,0.5145631067961165,0.6007614236219077,0.08619831682579115,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2010,102,70,0.6862745098039216,0.8077069708398577,0.12143246103593608,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2011,96,34,0.3541666666666667,0.5434809419163873,0.1893142752497206,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2012,98,13,0.1326530612244898,0.5523063561092285,0.4196532948847387,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2013,107,95,0.8878504672897196,0.9160853857073318,0.028234918417612165,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2014,87,33,0.3793103448275862,0.510494003606481,0.13118365877889482,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2015,72,24,0.3333333333333333,0.6525178785654278,0.31918454523209444,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2016,76,37,0.4868421052631579,0.718601653537114,0.23175954827395612,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2017,80,17,0.2125,0.3111053576250559,0.09860535762505593,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2018,82,73,0.8902439024390244,0.9569125859765251,0.06666868353750066,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2019,57,10,0.17543859649122806,0.2803983714698,0.10495977497857195,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2020,77,32,0.4155844155844156,0.45813178620495304,0.04254737062053743,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2021,83,25,0.30120481927710846,0.49174683794944707,0.1905420186723386,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2022,77,63,0.8181818181818182,0.8990008880592264,0.08081906987740817,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2023,53,5,0.09433962264150944,0.6277568134171908,0.5334171907756814,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2024,70,19,0.2714285714285714,0.5110757451057246,0.2396471736771532,True,0.2,0.05
full_oisst_domain,logistic,current_only,expanding_window,2005,140,97,0.6928571428571428,0.8567545665526896,0.16389742369554672,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2006,118,24,0.2033898305084746,0.5775444721360168,0.3741546416275422,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2007,153,49,0.3202614379084967,0.5547840569264709,0.23452261901797422,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2008,152,47,0.3092105263157895,0.5694039277109731,0.26019340139518365,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2009,154,88,0.5714285714285714,0.7040925511378096,0.13266397970923816,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2010,148,89,0.6013513513513513,0.7655572438849365,0.1642058925335852,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2011,123,52,0.42276422764227645,0.6369808363468141,0.21421660870453768,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2012,129,29,0.2248062015503876,0.48879506849694826,0.26398886694656065,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2013,152,105,0.6907894736842105,0.7935259116957049,0.10273643801149435,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2014,131,52,0.3969465648854962,0.5625867911684705,0.16564022628297437,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2015,113,63,0.5575221238938053,0.7970578650269988,0.23953574113319354,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2016,93,38,0.40860215053763443,0.6699035556795802,0.2613014051419457,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2017,114,20,0.17543859649122806,0.23947418949494323,0.06403559300371517,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2018,129,102,0.7906976744186046,0.8776553703319321,0.08695769591332747,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2019,80,30,0.375,0.6370656140069662,0.26206561400696615,True,0.2,0.1
