domain,model_family,feature_set,budget_fraction,year,n_candidates,selected_n,events,true_positives,precision,recall
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2018,134,14,104,14,1.0,0.1346153846153846
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2019,93,10,29,7,0.7,0.2413793103448276
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2020,117,12,41,7,0.5833333333333334,0.17073170731707318
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2021,117,12,38,9,0.75,0.23684210526315788
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2022,110,11,74,9,0.8181818181818182,0.12162162162162163
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2023,87,9,14,3,0.3333333333333333,0.21428571428571427
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2024,102,11,17,3,0.2727272727272727,0.17647058823529413
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2005,144,29,89,25,0.8620689655172413,0.2808988764044944
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2006,133,27,19,8,0.2962962962962963,0.42105263157894735
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2007,158,32,47,20,0.625,0.425531914893617
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2008,160,32,40,15,0.46875,0.375
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2009,160,32,79,17,0.53125,0.21518987341772153
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2010,158,32,77,18,0.5625,0.23376623376623376
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2011,141,29,51,18,0.6206896551724138,0.35294117647058826
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2012,144,29,26,13,0.4482758620689655,0.5
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2013,159,32,97,22,0.6875,0.2268041237113402
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2014,144,29,53,17,0.5862068965517241,0.32075471698113206
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2015,120,24,59,20,0.8333333333333334,0.3389830508474576
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2016,111,23,37,15,0.6521739130434783,0.40540540540540543
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2017,122,25,17,6,0.24,0.35294117647058826
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2018,134,27,104,27,1.0,0.25961538461538464
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2019,93,19,29,14,0.7368421052631579,0.4827586206896552
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2020,117,24,41,10,0.4166666666666667,0.24390243902439024
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2021,117,24,38,15,0.625,0.39473684210526316
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2022,110,22,74,18,0.8181818181818182,0.24324324324324326
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2023,87,18,14,4,0.2222222222222222,0.2857142857142857
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,2024,102,21,17,5,0.23809523809523808,0.29411764705882354
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2005,144,44,89,35,0.7954545454545454,0.39325842696629215
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2006,133,40,19,9,0.225,0.47368421052631576
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2007,158,48,47,24,0.5,0.5106382978723404
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2008,160,48,40,20,0.4166666666666667,0.5
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2009,160,48,79,25,0.5208333333333334,0.31645569620253167
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2010,158,48,77,28,0.5833333333333334,0.36363636363636365
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2011,141,43,51,27,0.627906976744186,0.5294117647058824
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2012,144,44,26,15,0.3409090909090909,0.5769230769230769
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2013,159,48,97,34,0.7083333333333334,0.35051546391752575
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2014,144,44,53,23,0.5227272727272727,0.4339622641509434
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2015,120,36,59,26,0.7222222222222222,0.4406779661016949
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2016,111,34,37,21,0.6176470588235294,0.5675675675675675
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2017,122,37,17,6,0.16216216216216217,0.35294117647058826
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2018,134,41,104,39,0.9512195121951219,0.375
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2019,93,28,29,18,0.6428571428571429,0.6206896551724138
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2020,117,36,41,16,0.4444444444444444,0.3902439024390244
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2021,117,36,38,20,0.5555555555555556,0.5263157894736842
