domain,model_family,feature_set,budget_fraction,years,total_selected,total_events,total_true_positives,micro_recall,recall_ci_low,recall_ci_high,micro_precision,precision_ci_low,precision_ci_high
upwelling_supported_domain,random_forest,trajectory_plus_oisst,0.05,20,95,661,60,0.0907715582450832,0.07133361155473184,0.12114982832339982,0.631578947368421,0.5,0.7425813295615276
upwelling_supported_domain,random_forest,trajectory_plus_oisst,0.1,20,179,661,112,0.16944024205748864,0.14285309820417408,0.21200303030303028,0.6256983240223464,0.5310682151077631,0.7126467351430668
upwelling_supported_domain,random_forest,trajectory_plus_oisst,0.2,20,349,661,187,0.28290468986384265,0.25226247942458996,0.3308905488947171,0.5358166189111748,0.44345238095238093,0.6305773809523808
upwelling_supported_domain,random_forest,trajectory_plus_oisst,0.3,20,518,661,261,0.394856278366112,0.3590026715451404,0.45190483985376767,0.5038610038610039,0.40507873924928584,0.610274155986976
upwelling_supported_domain,random_forest,trajectory_plus_oisst_cuti_beuti,0.05,20,95,661,56,0.08472012102874432,0.06388455960343746,0.11564689308559245,0.5894736842105263,0.44086021505376344,0.7281579780498101
upwelling_supported_domain,random_forest,trajectory_plus_oisst_cuti_beuti,0.1,20,179,661,104,0.1573373676248109,0.129651304966431,0.20001113585746097,0.5810055865921788,0.45648594116115593,0.69110770381451
upwelling_supported_domain,random_forest,trajectory_plus_oisst_cuti_beuti,0.2,20,349,661,183,0.27685325264750377,0.23999093264248703,0.33191761066755837,0.5243553008595988,0.42367043136777377,0.6266767955801105
upwelling_supported_domain,random_forest,trajectory_plus_oisst_cuti_beuti,0.3,20,518,661,255,0.3857791225416036,0.3420679872959885,0.449103065056328,0.4922779922779923,0.384436911626536,0.6060738195912614
upwelling_supported_domain,xgboost,current_only,0.05,20,95,661,59,0.08925869894099848,0.07703911330813555,0.1083485570916262,0.6210526315789474,0.5058789722785666,0.7272947925860547
upwelling_supported_domain,xgboost,current_only,0.1,20,179,661,105,0.1588502269288956,0.13643008041433827,0.19048527808069787,0.5865921787709497,0.4670238095238095,0.7005766206535033
upwelling_supported_domain,xgboost,current_only,0.2,20,349,661,183,0.27685325264750377,0.25105996131528047,0.3140796308184858,0.5243553008595988,0.42248909739659046,0.6224811648049794
upwelling_supported_domain,xgboost,current_only,0.3,20,518,661,252,0.3812405446293495,0.3545692474453163,0.4197956243157962,0.4864864864864865,0.3885455112067069,0.5873635044192049
upwelling_supported_domain,xgboost,current_plus_trajectory,0.05,20,95,661,55,0.0832072617246596,0.06725114825690837,0.10445385794883849,0.5789473684210527,0.44562198067632847,0.6979166666666666
upwelling_supported_domain,xgboost,current_plus_trajectory,0.1,20,179,661,96,0.14523449319213314,0.12136039886039886,0.17805816990243423,0.5363128491620112,0.42008050089445437,0.6363886113886112
upwelling_supported_domain,xgboost,current_plus_trajectory,0.2,20,349,661,183,0.27685325264750377,0.2439590930341281,0.32495917085427134,0.5243553008595988,0.4230571847507331,0.6216366366366365
upwelling_supported_domain,xgboost,current_plus_trajectory,0.3,20,518,661,260,0.39334341906202724,0.3534905913978495,0.45,0.5019305019305019,0.4016136627064619,0.6003649635036497
upwelling_supported_domain,xgboost,trajectory_plus_oisst,0.05,20,95,661,51,0.07715582450832073,0.0608930195561443,0.10027981142794311,0.5368421052631579,0.4044394937362779,0.6700025773195877
upwelling_supported_domain,xgboost,trajectory_plus_oisst,0.1,20,179,661,100,0.15128593040847202,0.12800853391684902,0.1852552926291055,0.5586592178770949,0.44508670520231214,0.6610169491525424
upwelling_supported_domain,xgboost,trajectory_plus_oisst,0.2,20,349,661,186,0.2813918305597579,0.2441951131281242,0.3341180309130612,0.5329512893982808,0.4222723739532912,0.6368551185656448
upwelling_supported_domain,xgboost,trajectory_plus_oisst,0.3,20,518,661,256,0.38729198184568836,0.34554112554112554,0.4446413045393929,0.4942084942084942,0.39644699812382744,0.5928011827378916
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,0.05,20,95,661,51,0.07715582450832073,0.059345560766050826,0.10145707478941543,0.5368421052631579,0.3917413715822501,0.6702941815023877
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,0.1,20,179,661,97,0.14674735249621784,0.11792701135228369,0.18459042277208235,0.5418994413407822,0.40955610085811683,0.6629834254143646
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,0.2,20,349,661,169,0.2556732223903177,0.20689376636399087,0.31570288060479657,0.48424068767908307,0.3607357658380112,0.6094407051409249
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,0.3,20,518,661,250,0.37821482602118,0.32542622265350724,0.4470821464601507,0.4826254826254826,0.3700767716535433,0.5977874684491907
