scope,model_family,feature_set,year,n,events,prevalence,ap_lift
full_165_domain,xgboost,current_only,2021,117,38,0.3247863247863248,0.1403305968408889
full_165_domain,xgboost,current_plus_trajectory,2005,144,89,0.6180555555555556,0.11610105477276933
full_165_domain,xgboost,current_plus_trajectory,2006,133,19,0.14285714285714285,0.28376953486268186
full_165_domain,xgboost,current_plus_trajectory,2007,158,47,0.2974683544303797,0.2595714881315359
full_165_domain,xgboost,current_plus_trajectory,2008,160,40,0.25,0.230236926829804
full_165_domain,xgboost,current_plus_trajectory,2009,160,79,0.49375,0.14102575358135772
full_165_domain,xgboost,current_plus_trajectory,2010,158,77,0.4873417721518987,0.19540566190847625
full_165_domain,xgboost,current_plus_trajectory,2011,141,51,0.3617021276595745,0.1682659744272968
full_165_domain,xgboost,current_plus_trajectory,2012,144,26,0.18055555555555555,0.2277398849950998
full_165_domain,xgboost,current_plus_trajectory,2013,159,97,0.610062893081761,0.10014022859701921
full_165_domain,xgboost,current_plus_trajectory,2014,144,53,0.3680555555555556,0.19364376239990944
full_165_domain,xgboost,current_plus_trajectory,2015,120,59,0.49166666666666664,0.18446644545792873
full_165_domain,xgboost,current_plus_trajectory,2016,111,37,0.3333333333333333,0.29287435095163755
full_165_domain,xgboost,current_plus_trajectory,2017,122,17,0.13934426229508196,0.06395243271768161
full_165_domain,xgboost,current_plus_trajectory,2018,134,104,0.7761194029850746,0.09725631925086187
full_165_domain,xgboost,current_plus_trajectory,2019,93,29,0.3118279569892473,0.24525626086994617
full_165_domain,xgboost,current_plus_trajectory,2020,117,41,0.3504273504273504,0.10304266785422267
full_165_domain,xgboost,current_plus_trajectory,2021,117,38,0.3247863247863248,0.14896672500174862
full_165_domain,xgboost,trajectory_plus_oisst,2005,144,89,0.6180555555555556,0.18081026095201547
full_165_domain,xgboost,trajectory_plus_oisst,2006,133,19,0.14285714285714285,0.16040303357050695
full_165_domain,xgboost,trajectory_plus_oisst,2007,158,47,0.2974683544303797,0.28124072714935916
full_165_domain,xgboost,trajectory_plus_oisst,2008,160,40,0.25,0.2720796486810273
full_165_domain,xgboost,trajectory_plus_oisst,2009,160,79,0.49375,0.11289761878199223
full_165_domain,xgboost,trajectory_plus_oisst,2010,158,77,0.4873417721518987,0.11512440684266984
full_165_domain,xgboost,trajectory_plus_oisst,2011,141,51,0.3617021276595745,0.24834576847893713
full_165_domain,xgboost,trajectory_plus_oisst,2012,144,26,0.18055555555555555,0.3711206997725436
full_165_domain,xgboost,trajectory_plus_oisst,2013,159,97,0.610062893081761,0.1550839699939377
full_165_domain,xgboost,trajectory_plus_oisst,2014,144,53,0.3680555555555556,0.11734606065699427
full_165_domain,xgboost,trajectory_plus_oisst,2015,120,59,0.49166666666666664,0.24323695624732083
full_165_domain,xgboost,trajectory_plus_oisst,2016,111,37,0.3333333333333333,0.20989119693540131
full_165_domain,xgboost,trajectory_plus_oisst,2017,122,17,0.13934426229508196,0.10515547865983407
full_165_domain,xgboost,trajectory_plus_oisst,2018,134,104,0.7761194029850746,0.08559840230037152
full_165_domain,xgboost,trajectory_plus_oisst,2019,93,29,0.3118279569892473,0.1366623306032465
full_165_domain,xgboost,trajectory_plus_oisst,2020,117,41,0.3504273504273504,0.1300089777357466
full_165_domain,xgboost,trajectory_plus_oisst,2021,117,38,0.3247863247863248,0.2511583386818161
giraldo_matched,logistic,current_only,2005,24,11,0.4583333333333333,0.18152377456486662
giraldo_matched,logistic,current_only,2006,23,3,0.13043478260869565,0.5501207729468599
giraldo_matched,logistic,current_only,2007,39,10,0.2564102564102564,0.22465453792853174
giraldo_matched,logistic,current_only,2008,42,12,0.2857142857142857,0.25171983641811224
giraldo_matched,logistic,current_only,2009,31,9,0.2903225806451613,0.4616872232764075
giraldo_matched,logistic,current_only,2010,36,22,0.6111111111111112,0.13440137146333087
giraldo_matched,logistic,current_only,2011,40,12,0.3,0.23073436797121
giraldo_matched,logistic,current_only,2012,32,2,0.0625,0.9375
giraldo_matched,logistic,current_only,2013,17,16,0.9411764705882353,0.05882352941176472
giraldo_matched,logistic,current_only,2014,19,10,0.5263157894736842,0.03773649810801516
giraldo_matched,logistic,current_only,2015,13,2,0.15384615384615385,0.5461538461538461
giraldo_matched,logistic,current_only,2016,16,6,0.375,0.20866402116402116
giraldo_matched,logistic,current_only,2017,18,4,0.2222222222222222,0.10416666666666669
giraldo_matched,logistic,current_only,2018,20,18,0.9,0.06299223198733006
giraldo_matched,logistic,current_only,2019,21,6,0.2857142857142857,0.035778170917489804
giraldo_matched,logistic,current_only,2020,26,8,0.3076923076923077,0.20375200940700167
giraldo_matched,logistic,current_only,2021,7,0,0.0,
giraldo_matched,logistic,current_plus_trajectory,2005,24,11,0.4583333333333333,0.09430266234375445
giraldo_matched,logistic,current_plus_trajectory,2006,23,3,0.13043478260869565,0.736231884057971
giraldo_matched,logistic,current_plus_trajectory,2007,39,10,0.2564102564102564,0.1958998902748903
giraldo_matched,logistic,current_plus_trajectory,2008,42,12,0.2857142857142857,0.3393215669695381
giraldo_matched,logistic,current_plus_trajectory,2009,31,9,0.2903225806451613,0.17059746638599688
giraldo_matched,logistic,current_plus_trajectory,2010,36,22,0.6111111111111112,0.18694416233024924
giraldo_matched,logistic,current_plus_trajectory,2011,40,12,0.3,0.238581764239659
giraldo_matched,logistic,current_plus_trajectory,2012,32,2,0.0625,0.9375
