validation_scheme,heldout_band,target_definition,train_rows,test_rows,train_positive_count,test_positive_count,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,feature_family,model,decision_threshold,status,notes
three_band_holdout,band_3_north,at_risk_original,950,209,292,49,0.414302,0.711480,0.081633,0.444444,0.137931,0.097561,45,5,4,155,relative_dynamic_combined,Random Forest,0.608812,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,at_risk_original,950,209,292,49,0.457854,0.618367,0.387755,0.487179,0.431818,0.404255,30,20,19,140,relative_dynamic_plus_habitat_context,Logistic Regression,0.519359,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,at_risk_original,950,209,292,49,0.469334,0.721684,0.102041,0.625000,0.175439,0.122549,44,3,5,157,relative_dynamic_plus_habitat_context,Random Forest,0.583496,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,actionable_drop,1188,612,284,186,0.523416,0.770243,0.795699,0.482085,0.600406,0.704091,38,159,148,267,canopy_absolute_baseline,Logistic Regression,0.408421,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,actionable_drop,1188,612,284,186,0.511336,0.756298,0.311828,0.522523,0.390572,0.339181,128,53,58,373,canopy_absolute_baseline,Random Forest,0.706032,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,actionable_drop,1188,612,284,186,0.502076,0.759592,0.596774,0.488987,0.537530,0.571576,75,116,111,310,canopy_relative,Logistic Regression,0.521780,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,actionable_drop,1188,612,284,186,0.493240,0.756272,0.392473,0.489933,0.435821,0.408735,113,76,73,350,canopy_relative,Random Forest,0.672684,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,actionable_drop,1188,612,284,186,0.369178,0.547415,0.930108,0.308929,0.463807,0.663344,13,387,173,39,thermal_absolute,Logistic Regression,0.428238,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,actionable_drop,1188,612,284,186,0.608342,0.740743,0.311828,0.763158,0.442748,0.353659,128,18,58,408,thermal_absolute,Random Forest,0.643780,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,actionable_drop,1188,612,284,186,0.323398,0.503231,0.392473,0.302905,0.341920,0.370558,113,168,73,258,thermal_relative,Logistic Regression,0.524351,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,actionable_drop,1188,612,284,186,0.567029,0.729694,0.456989,0.625000,0.527950,0.482955,101,51,85,375,thermal_relative,Random Forest,0.582442,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,actionable_drop,1188,612,284,186,0.583984,0.800192,0.844086,0.495268,0.624254,0.739868,29,160,157,266,trajectory_absolute,Logistic Regression,0.470599,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,actionable_drop,1188,612,284,186,0.511547,0.786133,0.467742,0.543750,0.502890,0.481195,99,73,87,353,trajectory_absolute,Random Forest,0.666025,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,actionable_drop,1188,612,284,186,0.503054,0.758367,0.575269,0.524510,0.548718,0.564346,79,97,107,329,trajectory_relative,Logistic Regression,0.560418,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,actionable_drop,1188,612,284,186,0.478516,0.739159,0.354839,0.488889,0.411215,0.375427,120,69,66,357,trajectory_relative,Random Forest,0.641213,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,actionable_drop,1188,612,284,186,0.554840,0.784441,0.645161,0.524017,0.578313,0.616650,66,109,120,317,relative_dynamic_combined,Logistic Regression,0.510773,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,actionable_drop,1188,612,284,186,0.618611,0.816523,0.403226,0.641026,0.495050,0.435540,111,42,75,384,relative_dynamic_combined,Random Forest,0.678637,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,actionable_drop,1188,612,284,186,0.551647,0.779860,0.532258,0.550000,0.540984,0.535714,87,81,99,345,relative_dynamic_plus_habitat_context,Logistic Regression,0.626691,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,actionable_drop,1188,612,284,186,0.618437,0.815627,0.494624,0.621622,0.550898,0.515695,94,56,92,370,relative_dynamic_plus_habitat_context,Random Forest,0.642671,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,actionable_drop,1224,576,318,152,0.421341,0.682488,0.947368,0.320713,0.479201,0.681173,8,305,144,119,canopy_absolute_baseline,Logistic Regression,0.378575,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,actionable_drop,1224,576,318,152,0.332008,0.620865,0.651316,0.326733,0.435165,0.543359,53,204,99,220,canopy_absolute_baseline,Random Forest,0.716755,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,actionable_drop,1224,576,318,152,0.437003,0.716097,0.769737,0.392617,0.520000,0.645695,35,181,117,243,canopy_relative,Logistic Regression,0.380719,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,actionable_drop,1224,576,318,152,0.439144,0.717493,0.368421,0.486957,0.419476,0.387275,96,59,56,365,canopy_relative,Random Forest,0.674498,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
