pr_auc,roc_auc,recall,precision,f1,balanced_accuracy,false_negatives,false_positives,true_positives,true_negatives,target_definition,feature_family,model,n_train,n_validation,n_test,positive_events_test,event_prevalence_test,decision_threshold,status
0.5030768418297453,0.8575478384124735,0.5588235294117647,0.48717948717948717,0.5205479452054794,0.7191708008504607,15,20,19,146,actionable_decline_drop,canopy_trajectory_plus_habitat,Logistic Regression L2,1400,200,200,34,0.17,0.4861480508695095,computed
0.4908428659616225,0.8648121899362154,0.38235294117647056,0.41935483870967744,0.4,0.6369596031183558,21,18,13,148,actionable_decline_drop,canopy_trajectory_plus_habitat,Random Forest,1400,200,200,34,0.17,0.5170328282828281,computed
0.47697123988935086,0.823706591070163,0.38235294117647056,0.5652173913043478,0.45614035087719296,0.6610559886605245,21,10,13,156,actionable_decline_drop,canopy_trajectory_plus_crw_plus_habitat,Logistic Regression L2,1400,200,200,34,0.17,0.664237993308893,computed
0.42362145333837964,0.8467399007795889,0.5588235294117647,0.4418604651162791,0.4935064935064935,0.7071226080793763,15,24,19,142,actionable_decline_drop,canopy_trajectory_plus_crw_plus_habitat,Random Forest,1400,200,200,34,0.17,0.4291291486291486,computed
0.19396555825127254,0.20300751879699253,0.8571428571428571,0.25,0.3870967741935484,0.4548872180451128,1,18,6,1,high_canopy_original_decline,naive_persistence_baseline,current_low_canopy_score,367,35,26,7,0.2692307692307692,0.56128546,computed
0.5175736961451247,0.7293233082706767,0.14285714285714285,0.5,0.2222222222222222,0.5451127819548872,6,1,1,18,high_canopy_original_decline,existing_canopy_only,Logistic Regression L2,367,35,26,7,0.2692307692307692,0.6035067491774891,computed
0.6019816622301095,0.7593984962406015,0.14285714285714285,0.3333333333333333,0.2,0.518796992481203,6,2,1,17,high_canopy_original_decline,existing_canopy_only,Random Forest,367,35,26,7,0.2692307692307692,0.5224762400625401,computed
0.6174972688130582,0.7293233082706767,0.5714285714285714,0.4444444444444444,0.5,0.6541353383458646,3,5,4,14,high_canopy_original_decline,canopy_trajectory_only,Logistic Regression L2,367,35,26,7,0.2692307692307692,0.46280831744186035,computed
0.4010644257703081,0.5939849624060151,0.5714285714285714,0.4,0.47058823529411764,0.6278195488721805,3,6,4,13,high_canopy_original_decline,canopy_trajectory_only,Random Forest,367,35,26,7,0.2692307692307692,0.43771520200931935,computed
0.217617501546073,0.26315789473684215,0.42857142857142855,0.1875,0.2608695652173913,0.3721804511278195,4,13,3,6,high_canopy_original_decline,crw_composite_only,Logistic Regression L2,367,35,26,7,0.2692307692307692,0.4560099682596869,computed
0.20821774171148244,0.21804511278195493,0.0,0.0,0.0,0.47368421052631576,7,1,0,18,high_canopy_original_decline,crw_composite_only,Random Forest,367,35,26,7,0.2692307692307692,0.4975956080956081,computed
0.49858311623017504,0.6842105263157895,0.42857142857142855,0.375,0.4,0.5827067669172932,4,5,3,14,high_canopy_original_decline,canopy_trajectory_plus_crw,Logistic Regression L2,367,35,26,7,0.2692307692307692,0.44721091975246297,computed
0.40568201639630214,0.6165413533834586,0.42857142857142855,0.375,0.4,0.5827067669172932,4,5,3,14,high_canopy_original_decline,canopy_trajectory_plus_crw,Random Forest,367,35,26,7,0.2692307692307692,0.44900129962629953,computed
0.6563420239890827,0.7406015037593985,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.7330827067669172,3,2,4,17,high_canopy_original_decline,habitat_only,Logistic Regression L2,367,35,26,7,0.2692307692307692,0.5142117496683809,computed
0.5120287579914908,0.68796992481203,0.8571428571428571,0.4,0.5454545454545454,0.6917293233082706,1,9,6,10,high_canopy_original_decline,habitat_only,Random Forest,367,35,26,7,0.2692307692307692,0.053465012570275736,computed
0.6572234156820622,0.736842105263158,0.5714285714285714,0.4444444444444444,0.5,0.6541353383458646,3,5,4,14,high_canopy_original_decline,canopy_trajectory_plus_habitat,Logistic Regression L2,367,35,26,7,0.2692307692307692,0.48083696167621787,computed
0.6094444444444445,0.6917293233082707,0.5714285714285714,0.4444444444444444,0.5,0.6541353383458646,3,5,4,14,high_canopy_original_decline,canopy_trajectory_plus_habitat,Random Forest,367,35,26,7,0.2692307692307692,0.3948774235024235,computed
0.5184679932579093,0.6842105263157895,0.42857142857142855,0.3333333333333333,0.375,0.556390977443609,4,6,3,13,high_canopy_original_decline,canopy_trajectory_plus_crw_plus_habitat,Logistic Regression L2,367,35,26,7,0.2692307692307692,0.4208228936300773,computed
