horizon,target,evaluation_scope,feature_family,model,decision_threshold,train_rows,validation_rows,test_year_min,test_year_max,feature_count,status,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,positive_count,total_evaluated_rows,event_rate
2year,actionable_decline_drop_next_2year,common_years,canopy_current_plus_environment,XGBoost,0.185488,1400,200,2021,2022,57,computed,0.931655,0.951691,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,horizon_valid,canopy_current_plus_environment,LightGBM,0.034189,1400,200,2021,2022,57,computed,0.915003,0.940821,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,common_years,canopy_current_plus_environment,LightGBM,0.034189,1400,200,2021,2022,57,computed,0.915003,0.940821,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,horizon_valid,canopy_current_plus_trajectory_plus_environment,Logistic Regression,0.234190,1400,200,2021,2022,71,computed,0.857222,0.834138,0.685185,0.770833,0.725490,0.700758,17,11,37,35,54,100,0.540000
2year,actionable_decline_drop_next_2year,common_years,canopy_current_plus_trajectory_plus_environment,Logistic Regression,0.234190,1400,200,2021,2022,71,computed,0.857222,0.834138,0.685185,0.770833,0.725490,0.700758,17,11,37,35,54,100,0.540000
2year,actionable_decline_drop_next_2year,horizon_valid,canopy_current_plus_trajectory_plus_environment,Random Forest,0.214082,1400,200,2021,2022,71,computed,0.960737,0.960548,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,common_years,canopy_current_plus_trajectory_plus_environment,Random Forest,0.214082,1400,200,2021,2022,71,computed,0.960737,0.960548,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,horizon_valid,canopy_current_plus_trajectory_plus_environment,XGBoost,0.140122,1400,200,2021,2022,71,computed,0.959586,0.960145,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,common_years,canopy_current_plus_trajectory_plus_environment,XGBoost,0.140122,1400,200,2021,2022,71,computed,0.959586,0.960145,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,horizon_valid,canopy_current_plus_trajectory_plus_environment,LightGBM,0.032439,1400,200,2021,2022,71,computed,0.943797,0.948873,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,common_years,canopy_current_plus_trajectory_plus_environment,LightGBM,0.032439,1400,200,2021,2022,71,computed,0.943797,0.948873,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
