target_definition,target,comparison,scale,model_family,validation_design,held_out_region,n_train,n_test,test_positive_events,test_event_prevalence,pr_auc,roc_auc,recall,precision,f1,balanced_accuracy,brier_score,feature_count,features
B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,M0_nearest_grid_baseline,nearest,Logistic Regression L2,temporal_holdout,none,955,93,45,0.4838709677419355,0.39746207501466296,0.30439814814814814,0.4,0.32727272727272727,0.36,0.3145833333333333,0.2598159476167631,5,oisst_nearest_annual_mean_sst_anomaly_mean;oisst_nearest_hot_days_p90_mean;lag1_oisst_nearest_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,M0_nearest_grid_baseline,nearest,Random Forest,temporal_holdout,none,955,93,45,0.4838709677419355,0.7407394948984867,0.6923611111111111,0.26666666666666666,0.9230769230769231,0.41379310344827586,0.6229166666666667,0.23924456604615787,5,oisst_nearest_annual_mean_sst_anomaly_mean;oisst_nearest_hot_days_p90_mean;lag1_oisst_nearest_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,M2_single_scale_10km,10km,Logistic Regression L2,temporal_holdout,none,955,93,45,0.4838709677419355,0.45191010113211644,0.3817129629629629,0.3111111111111111,0.3783783783783784,0.34146341463414637,0.41597222222222224,0.2588708684702471,5,oisst_10km_annual_mean_sst_anomaly_mean;oisst_10km_hot_days_p90_mean;lag1_oisst_10km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,M2_single_scale_10km,10km,Random Forest,temporal_holdout,none,955,93,45,0.4838709677419355,0.5661518713520322,0.5168981481481482,0.28888888888888886,0.65,0.4,0.5715277777777777,0.2810300660353332,5,oisst_10km_annual_mean_sst_anomaly_mean;oisst_10km_hot_days_p90_mean;lag1_oisst_10km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,M2_single_scale_25km,25km,Logistic Regression L2,temporal_holdout,none,955,93,45,0.4838709677419355,0.40607906923750703,0.3217592592592593,0.4444444444444444,0.35714285714285715,0.39603960396039606,0.3472222222222222,0.25903201240706847,5,oisst_25km_annual_mean_sst_anomaly_mean;oisst_25km_hot_days_p90_mean;lag1_oisst_25km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,M2_single_scale_25km,25km,Random Forest,temporal_holdout,none,955,93,45,0.4838709677419355,0.5801119754247038,0.5462962962962964,0.1111111111111111,0.8333333333333334,0.19607843137254902,0.5451388888888888,0.27280739087702827,5,oisst_25km_annual_mean_sst_anomaly_mean;oisst_25km_hot_days_p90_mean;lag1_oisst_25km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,M1_fixed_30km_buffer,30km,Logistic Regression L2,temporal_holdout,none,955,93,45,0.4838709677419355,0.41053397800241753,0.32546296296296295,0.4666666666666667,0.35,0.4,0.32708333333333334,0.25935597488919754,5,oisst_30km_annual_mean_sst_anomaly_mean;oisst_30km_hot_days_p90_mean;lag1_oisst_30km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,M1_fixed_30km_buffer,30km,Random Forest,temporal_holdout,none,955,93,45,0.4838709677419355,0.516787236011954,0.5217592592592593,0.0,0.0,0.0,0.5,0.27373897717333445,5,oisst_30km_annual_mean_sst_anomaly_mean;oisst_30km_hot_days_p90_mean;lag1_oisst_30km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,M2_single_scale_50km,50km,Logistic Regression L2,temporal_holdout,none,955,93,45,0.4838709677419355,0.4097860947828881,0.32407407407407407,0.4444444444444444,0.3448275862068966,0.3883495145631068,0.3263888888888889,0.2593678378698058,5,oisst_50km_annual_mean_sst_anomaly_mean;oisst_50km_hot_days_p90_mean;lag1_oisst_50km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,M2_single_scale_50km,50km,Random Forest,temporal_holdout,none,955,93,45,0.4838709677419355,0.6416914341159237,0.5564814814814815,0.0,0.0,0.0,0.5,0.2757607539420974,5,oisst_50km_annual_mean_sst_anomaly_mean;oisst_50km_hot_days_p90_mean;lag1_oisst_50km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
