source_table,experiment_layer,target_definition,normalized_target,feature_family,normalized_feature_family,model,learning_strategy,threshold,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,train_positive_count,validation_positive_count,test_positive_count,n_train,n_validation,n_test,event_prevalence_test,status,notes
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_trajectory_plus_environment,rare_event_learning,XGBoost,cost_sensitive,,0.7248509730153879,0.566146540027137,0.3955223880597014,0.7681159420289855,0.5221674876847291,0.4380165289256198,81.0,16.0,53.0,50.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/oisst_matching_sensitivity_model_performance.csv,OISST_sensitivity,decline_event_next,original_decline,environment_only,rare_event_learning,LightGBM,cost_sensitive,,0.6638935540642126,0.4661917684305743,0.0597014925373134,0.6666666666666666,0.1095890410958904,0.072992700729927,126.0,4.0,8.0,62.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=3x3
outputs/model_results/oisst_matching_sensitivity_model_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_environment,rare_event_learning,LightGBM,cost_sensitive,,0.790882742080854,0.6584124830393487,0.1791044776119403,0.7741935483870968,0.2909090909090909,0.2116402116402116,110.0,7.0,24.0,59.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=3x3
outputs/model_results/oisst_matching_sensitivity_model_performance.csv,OISST_sensitivity,decline_event_next,original_decline,environment_only,rare_event_learning,Logistic Regression,cost_sensitive,,0.7109433955424496,0.4766508367254636,0.3880597014925373,0.6582278481012658,0.488262910798122,0.4227642276422764,82.0,27.0,52.0,39.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=3x3
outputs/model_results/oisst_matching_sensitivity_model_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_environment,rare_event_learning,Logistic Regression,cost_sensitive,,0.7428141121477514,0.5295115332428765,0.4925373134328358,0.6947368421052632,0.5764192139737991,0.5229793977812995,68.0,29.0,66.0,37.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=3x3
outputs/model_results/oisst_matching_sensitivity_model_performance.csv,OISST_sensitivity,decline_event_next,original_decline,environment_only,rare_event_learning,Random Forest,cost_sensitive,,0.6716589721185957,0.4913500678426051,0.0298507462686567,0.5,0.056338028169014,0.0367647058823529,130.0,4.0,4.0,62.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=3x3
outputs/model_results/oisst_matching_sensitivity_model_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_environment,rare_event_learning,Random Forest,cost_sensitive,,0.7923931423672226,0.6222297602894618,0.1194029850746268,0.9411764705882352,0.2119205298013245,0.1446654611211573,118.0,1.0,16.0,65.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=3x3
outputs/model_results/oisst_matching_sensitivity_model_performance.csv,OISST_sensitivity,decline_event_next,original_decline,environment_only,rare_event_learning,SVM,cost_sensitive,,0.806001580983382,0.6520239710538219,0.0373134328358208,1.0,0.0719424460431654,0.0462107208872458,129.0,0.0,5.0,66.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=3x3
outputs/model_results/oisst_matching_sensitivity_model_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_environment,rare_event_learning,SVM,cost_sensitive,,0.8322821925483953,0.6900723654454997,0.1044776119402985,0.9333333333333332,0.1879194630872483,0.1270417422867513,120.0,1.0,14.0,65.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=3x3
outputs/model_results/oisst_matching_sensitivity_model_performance.csv,OISST_sensitivity,decline_event_next,original_decline,environment_only,rare_event_learning,XGBoost,cost_sensitive,,0.6805463410245098,0.4745590230664858,0.1865671641791045,0.7575757575757576,0.2994011976047904,0.2196836555360281,109.0,8.0,25.0,58.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=3x3
outputs/model_results/oisst_matching_sensitivity_model_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_environment,rare_event_learning,XGBoost,cost_sensitive,,0.7863284315435299,0.6089439167797377,0.2611940298507462,0.8333333333333334,0.3977272727272727,0.3027681660899654,99.0,7.0,35.0,59.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=3x3
outputs/metadata/model_comparison_results.csv,V1,decline_event_next,original_decline,oisst_only,OISST_only,LightGBM,,,0.6735824616294275,0.4562415196743555,0.3208955223880597,0.6825396825396826,0.4365482233502538,,91.0,20.0,43.0,46.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_results.csv,V1,decline_event_next,original_decline,canopy_noaa,OISST_only,LightGBM,,,0.8155294953487338,0.6534373586612392,0.3805970149253731,0.8947368421052632,0.5340314136125655,,83.0,6.0,51.0,60.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_results.csv,V1,decline_event_next,original_decline,oisst_only,OISST_only,Logistic Regression,,,0.7141019005558481,0.5197874265038445,0.2611940298507462,0.7142857142857143,0.3825136612021858,,99.0,14.0,35.0,52.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_results.csv,V1,decline_event_next,original_decline,canopy_noaa,OISST_only,Logistic Regression,,,0.7823845480849092,0.6296924468566261,0.6268656716417911,0.7636363636363637,0.6885245901639344,,50.0,26.0,84.0,40.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_results.csv,V1,decline_event_next,original_decline,oisst_only,OISST_only,Random Forest,,,0.7043859037607086,0.5076888285843509,0.291044776119403,0.7090909090909091,0.4126984126984127,,95.0,16.0,39.0,50.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_results.csv,V1,decline_event_next,original_decline,canopy_noaa,OISST_only,Random Forest,,,0.8306530758016963,0.674468566259611,0.2761194029850746,0.925,0.425287356321839,,97.0,3.0,37.0,63.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_results.csv,V1,decline_event_next,original_decline,oisst_only,OISST_only,SVM,,,0.7412263285153959,0.5102894617819991,0.0970149253731343,0.9285714285714286,0.1756756756756756,,121.0,1.0,13.0,65.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_results.csv,V1,decline_event_next,original_decline,canopy_noaa,OISST_only,SVM,,,0.8459373329066522,0.714947987336047,0.2462686567164179,0.868421052631579,0.3837209302325581,,101.0,5.0,33.0,61.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_results.csv,V1,decline_event_next,original_decline,oisst_only,OISST_only,XGBoost,,,0.7182896444345532,0.5091587516960651,0.4477611940298507,0.7228915662650602,0.5529953917050692,,74.0,23.0,60.0,43.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_results.csv,V1,decline_event_next,original_decline,canopy_noaa,OISST_only,XGBoost,,,0.8218494005035681,0.6640660334690185,0.5223880597014925,0.875,0.6542056074766355,,64.0,10.0,70.0,56.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_results.csv,V1,decline_event_next,original_decline,canopy_only,canopy_only,LightGBM,,,0.8834960300128065,0.7721619176843059,0.5895522388059702,0.8586956521739131,0.6991150442477876,,55.0,13.0,79.0,53.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_results.csv,V1,decline_event_next,original_decline,canopy_only,canopy_only,Logistic Regression,,,0.8134724490243929,0.6863410221619177,0.7985074626865671,0.6993464052287581,0.7456445993031359,,27.0,46.0,107.0,20.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_results.csv,V1,decline_event_next,original_decline,canopy_only,canopy_only,Random Forest,,,0.8973625711126626,0.7907055630936227,0.5895522388059702,0.9080459770114944,0.7149321266968326,,55.0,8.0,79.0,58.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_results.csv,V1,decline_event_next,original_decline,canopy_only,canopy_only,SVM,,,0.8866272808552881,0.7606286748077793,0.0,0.0,0.0,,134.0,0.0,0.0,66.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_results.csv,V1,decline_event_next,original_decline,canopy_only,canopy_only,XGBoost,,,0.8726195325249292,0.7420850293984622,0.5895522388059702,0.8681318681318682,0.7022222222222222,,55.0,12.0,79.0,54.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_test_metrics.csv,V1,decline_event_next,original_decline,oisst_only,OISST_only,LightGBM,,,0.6735824616294275,0.4562415196743555,0.3208955223880597,0.6825396825396826,0.4365482233502538,,91.0,20.0,43.0,46.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_test_metrics.csv,V1,decline_event_next,original_decline,canopy_noaa,OISST_only,LightGBM,,,0.8155294953487338,0.6534373586612392,0.3805970149253731,0.8947368421052632,0.5340314136125655,,83.0,6.0,51.0,60.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_test_metrics.csv,V1,decline_event_next,original_decline,oisst_only,OISST_only,Logistic Regression,,,0.7141019005558481,0.5197874265038445,0.2611940298507462,0.7142857142857143,0.3825136612021858,,99.0,14.0,35.0,52.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_test_metrics.csv,V1,decline_event_next,original_decline,canopy_noaa,OISST_only,Logistic Regression,,,0.7823845480849092,0.6296924468566261,0.6268656716417911,0.7636363636363637,0.6885245901639344,,50.0,26.0,84.0,40.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_test_metrics.csv,V1,decline_event_next,original_decline,oisst_only,OISST_only,Random Forest,,,0.7043859037607086,0.5076888285843509,0.291044776119403,0.7090909090909091,0.4126984126984127,,95.0,16.0,39.0,50.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_test_metrics.csv,V1,decline_event_next,original_decline,canopy_noaa,OISST_only,Random Forest,,,0.8306530758016963,0.674468566259611,0.2761194029850746,0.925,0.425287356321839,,97.0,3.0,37.0,63.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_test_metrics.csv,V1,decline_event_next,original_decline,oisst_only,OISST_only,SVM,,,0.7412263285153959,0.5102894617819991,0.0970149253731343,0.9285714285714286,0.1756756756756756,,121.0,1.0,13.0,65.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_test_metrics.csv,V1,decline_event_next,original_decline,canopy_noaa,OISST_only,SVM,,,0.8459373329066522,0.714947987336047,0.2462686567164179,0.868421052631579,0.3837209302325581,,101.0,5.0,33.0,61.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_test_metrics.csv,V1,decline_event_next,original_decline,oisst_only,OISST_only,XGBoost,,,0.7182896444345532,0.5091587516960651,0.4477611940298507,0.7228915662650602,0.5529953917050692,,74.0,23.0,60.0,43.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_test_metrics.csv,V1,decline_event_next,original_decline,canopy_noaa,OISST_only,XGBoost,,,0.8218494005035681,0.6640660334690185,0.5223880597014925,0.875,0.6542056074766355,,64.0,10.0,70.0,56.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_test_metrics.csv,V1,decline_event_next,original_decline,canopy_only,canopy_only,LightGBM,,,0.8834960300128065,0.7721619176843059,0.5895522388059702,0.8586956521739131,0.6991150442477876,,55.0,13.0,79.0,53.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_test_metrics.csv,V1,decline_event_next,original_decline,canopy_only,canopy_only,Logistic Regression,,,0.8134724490243929,0.6863410221619177,0.7985074626865671,0.6993464052287581,0.7456445993031359,,27.0,46.0,107.0,20.0,,,,,,200.0,0.67,computed,
outputs/metadata/model_comparison_test_metrics.csv,V1,decline_event_next,original_decline,canopy_only,canopy_only,Random Forest,,,0.8973625711126626,0.7907055630936227,0.5895522388059702,0.9080459770114944,0.7149321266968326,,55.0,8.0,79.0,58.0,,,,,,200.0,0.67,computed,
