model_family,feature_set,forecast_year,n,events,prevalence,average_precision,ap_lift,recall_top_5pct,selected_top_5pct,recall_top_10pct,selected_top_10pct,recall_top_20pct,selected_top_20pct,recall_top_30pct,selected_top_30pct
random_forest,daily_stress,2017,99,38,0.3838383838383838,0.625468011559586,0.24162962772120217,0.10526315789473684,5,0.21052631578947367,10,0.3684210526315789,20,0.47368421052631576,30
random_forest,daily_stress,2018,118,16,0.13559322033898305,0.20675543733553037,0.07116221699654732,0.125,6,0.125,12,0.375,24,0.4375,36
random_forest,daily_stress,2019,128,98,0.765625,0.8605066783631887,0.09488167836318873,0.07142857142857142,7,0.12244897959183673,13,0.24489795918367346,26,0.35714285714285715,39
random_forest,daily_stress,2020,93,29,0.3118279569892473,0.525265936943121,0.21343797995387365,0.06896551724137931,5,0.20689655172413793,10,0.3793103448275862,19,0.5862068965517241,28
random_forest,daily_stress,2021,116,41,0.35344827586206895,0.449938789495571,0.09649051363350203,0.0975609756097561,6,0.12195121951219512,12,0.2682926829268293,24,0.34146341463414637,35
random_forest,daily_stress,2022,112,38,0.3392857142857143,0.5641745758701511,0.22488886158443677,0.13157894736842105,6,0.21052631578947367,12,0.34210526315789475,23,0.47368421052631576,34
random_forest,daily_stress,2023,108,73,0.6759259259259259,0.8600611902589019,0.184135264332976,0.0821917808219178,6,0.136986301369863,11,0.2602739726027397,22,0.3972602739726027,33
random_forest,daily_stress,2024,84,16,0.19047619047619047,0.2832004875114631,0.09272429703527263,0.0625,5,0.125,9,0.1875,17,0.4375,26
random_forest,monthly_and_daily_crw,2005,145,45,0.3103448275862069,0.448112040300719,0.1377672127145121,0.1111111111111111,8,0.17777777777777778,15,0.26666666666666666,29,0.37777777777777777,44
random_forest,monthly_and_daily_crw,2006,136,88,0.6470588235294118,0.6598721370405918,0.01281331351117998,0.045454545454545456,7,0.09090909090909091,14,0.20454545454545456,28,0.32954545454545453,41
random_forest,monthly_and_daily_crw,2007,108,20,0.18518518518518517,0.5618230982099269,0.37663791302474176,0.25,6,0.25,11,0.45,22,0.75,33
random_forest,monthly_and_daily_crw,2008,153,48,0.3137254901960784,0.5496278128248286,0.23590232262875022,0.125,8,0.2916666666666667,16,0.4166666666666667,31,0.5,46
random_forest,monthly_and_daily_crw,2009,152,43,0.28289473684210525,0.5034101700172718,0.2205154331751666,0.16279069767441862,8,0.27906976744186046,16,0.4186046511627907,31,0.4883720930232558,46
random_forest,monthly_and_daily_crw,2010,151,76,0.5033112582781457,0.6229253323469006,0.1196140740687549,0.07894736842105263,8,0.11842105263157894,16,0.2631578947368421,31,0.3815789473684211,46
random_forest,monthly_and_daily_crw,2011,150,80,0.5333333333333333,0.6881264490037065,0.15479311567037313,0.075,8,0.1375,15,0.25,30,0.4125,45
random_forest,monthly_and_daily_crw,2012,121,43,0.35537190082644626,0.4680586699446047,0.11268676911815845,0.06976744186046512,7,0.13953488372093023,13,0.32558139534883723,25,0.4186046511627907,37
random_forest,monthly_and_daily_crw,2013,125,25,0.2,0.4585007806051074,0.2585007806051074,0.2,7,0.36,13,0.48,25,0.6,38
random_forest,monthly_and_daily_crw,2014,146,92,0.6301369863013698,0.7247161765734187,0.09457919027204886,0.05434782608695652,8,0.11956521739130435,15,0.22826086956521738,30,0.34782608695652173,44
random_forest,monthly_and_daily_crw,2015,124,45,0.3629032258064516,0.3729655061900657,0.010062280383614064,0.0,7,0.044444444444444446,13,0.2222222222222222,25,0.3111111111111111,38
random_forest,monthly_and_daily_crw,2016,109,55,0.5045871559633027,0.6501068621930872,0.1455197062297845,0.07272727272727272,6,0.12727272727272726,11,0.3090909090909091,22,0.41818181818181815,33
random_forest,monthly_and_daily_crw,2017,99,38,0.3838383838383838,0.6539660442819691,0.2701276604435853,0.10526315789473684,5,0.21052631578947367,10,0.34210526315789475,20,0.5,30
random_forest,monthly_and_daily_crw,2018,118,16,0.13559322033898305,0.2163644692128792,0.08077124887389614,0.125,6,0.125,12,0.375,24,0.4375,36
random_forest,monthly_and_daily_crw,2019,128,98,0.765625,0.8634853845753903,0.09786038457539026,0.07142857142857142,7,0.1326530612244898,13,0.24489795918367346,26,0.35714285714285715,39
random_forest,monthly_and_daily_crw,2020,93,29,0.3118279569892473,0.5738948244213332,0.2620668674320859,0.06896551724137931,5,0.2413793103448276,10,0.41379310344827586,19,0.6206896551724138,28
random_forest,monthly_and_daily_crw,2021,116,41,0.35344827586206895,0.4434906675357285,0.09004239167365957,0.07317073170731707,6,0.14634146341463414,12,0.2682926829268293,24,0.34146341463414637,35
