site_id,support_m,overlap_cluster,region_group,year,event,model_family,score_current,score_trajectory,score_mur,risk_percentile_current,risk_percentile_trajectory,risk_percentile_mur,selected_at_budget_current,selected_at_budget_trajectory,selected_at_budget_mur,trajectory_false_negative,trajectory_false_positive,trajectory_rank_quality_pp,mur_signed_rank_gain_pp,mur_brier_gain,grazing_log1p,rock_probability,depth_m,kelp_species_contrast,n_transects
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2019,0,logistic,0.35263746410113,0.2997323969020337,0.47540837435886396,0.6521739130434783,0.3652173913043478,0.5826086956521739,False,False,False,0,0,13.478260869565217,-21.739130434782606,-0.1361736126578995,6.794602882593698,0.725630627,12.44250186,0.3465735902799726,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2019,0,random_forest,0.43509716369501755,0.2719177933971396,0.3959116142360108,0.8434782608695652,0.16521739130434782,0.5391304347826087,True,False,False,0,0,33.47826086956522,-37.391304347826086,-0.0828067199209943,6.794602882593698,0.725630627,12.44250186,0.3465735902799726,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2019,0,xgboost,0.45699772238731384,0.36004963517189026,0.5995343327522278,0.8565217391304348,0.591304347826087,0.8260869565217391,True,False,True,0,0,-9.130434782608699,-23.478260869565215,-0.2298056763612477,6.794602882593698,0.725630627,12.44250186,0.3465735902799726,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2020,0,logistic,0.3467345040293348,0.32842626795911684,0.44081484276165056,0.4462809917355372,0.38016528925619836,0.5867768595041323,False,False,False,0,0,11.983471074380164,-20.661157024793393,-0.08645391211342508,7.585006948646656,0.725630627,12.44250186,0.0,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2020,0,random_forest,0.41300539856233287,0.2788556145863719,0.3072822546954781,0.7768595041322314,0.09917355371900827,0.19008264462809918,False,False,False,0,0,40.082644628099175,-9.090909090909092,-0.01666193026439347,7.585006948646656,0.725630627,12.44250186,0.0,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2020,0,xgboost,0.41054919362068176,0.3137560188770294,0.3136681318283081,0.743801652892562,0.3305785123966942,0.1322314049586777,False,False,False,0,0,16.94214876033058,19.834710743801654,5.514245690196873e-05,7.585006948646656,0.725630627,12.44250186,0.0,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2021,0,logistic,0.34354084306130206,0.36600523995145556,0.23312836563272687,0.568,0.416,0.224,False,False,False,0,0,8.400000000000002,19.2,0.07961100080933618,6.805937736519054,0.725630627,12.44250186,0.0,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2021,0,random_forest,0.4114057664234816,0.308251444774792,0.29199817508214165,0.776,0.216,0.288,False,False,False,0,0,28.400000000000002,-7.199999999999998,0.009756018954445597,6.805937736519054,0.725630627,12.44250186,0.0,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2021,0,xgboost,0.4226657450199127,0.19755801558494568,0.2611502707004547,0.776,0.096,0.336,False,False,False,0,0,40.400000000000006,-24.000000000000004,-0.029170294365059135,6.805937736519054,0.725630627,12.44250186,0.0,6
MONTANA_DE_ORO UCSC,300,s300_c061,Central California,2008,1,logistic,0.4568731510863209,0.5837228884708732,0.7181938248085646,0.7876712328767124,0.8561643835616438,0.9178082191780822,False,True,True,0,0,35.61643835616438,6.164383561643838,0.09387191320700713,0.0,0.862707006,12.73344719,0.8472978603872034,5
