site_id,latitude,longitude,region_group,field_years,support_m,overlap_cluster,pre2005_footprint_pixels,positive_reference_years,stable_support
Caspar North,39.364429,-123.821327,Northern California,8,1000,s1000_c019,164,17,True
DEEP_HOLE_EAST VRG,34.04518,-118.9604,Southern California,1,1000,s1000_c017,752,21,True
DOLAN_DC UCSC,36.10018,-121.6284,Central California,2,1000,s1000_c020,920,21,True
DOLAN_UC UCSC,36.1092,-121.6336,Central California,3,1000,s1000_c020,631,21,True
ESTERO UCSC,35.47239,-121.0296,Central California,5,1000,s1000_c021,1376,19,True
FALSE_SUR UCSC,36.27756,-121.8868,Central California,5,1000,s1000_c004,1798,20,True
FLAT_ROCK_N VRG,33.80132,-118.4074,Southern California,1,1000,s1000_c022,662,18,True
FULLERS UCSC,36.20811,-121.7522,Central California,2,1000,s1000_c023,540,21,True
Flat Iron Rock,41.059425,-124.157829,Northern California,3,1000,s1000_c024,29,19,True
Fort Ross,38.5106,-123.245,Northern California,15,1000,s1000_c025,381,18,True
Frolic Cove,39.355026,-123.823868,Northern California,8,1000,s1000_c019,81,15,True
GREEN_PEAK UCSC,35.1901,-120.8307,Central California,8,1000,s1000_c026,622,17,True
Gerstle Cove,38.56646,-123.33,Northern California,16,1000,s1000_c027,304,18,True
Glass Beach,39.451645,-123.814728,Northern California,4,1000,s1000_c028,126,19,True
HARMONY UCSC,35.49641,-121.0578,Central California,5,1000,s1000_c029,1698,19,True
HAWTHORNE_REEF VRG,33.74703,-118.4178,Southern California,2,1000,s1000_c001,288,19,True
HEISLER_PARK VRG,33.54039,-117.7919,Southern California,3,1000,s1000_c030,192,12,True
HOPKINS_DC UCSC,36.62359,-121.9042,Central California,23,1000,s1000_c005,514,18,True
HOPKINS_UC UCSC,36.62165,-121.9008,Central California,23,1000,s1000_c005,441,18,True
HORSESHOE_REEF_W UCSB,34.39173,-119.5577,Southern California,11,1000,s1000_c031,151,17,True
JALAMA_N UCSB,34.48696,-120.5005,Central California,14,1000,s1000_c032,1266,20,True
JALAMA_S UCSB,34.48084,-120.4945,Central California,14,1000,s1000_c032,980,20,True
LAGUNA_BEACH VRG,33.53026,-117.781,Southern California,3,1000,s1000_c030,298,13,True
LA_CRUZ_DC UCSC,35.710426,-121.324076,Central California,6,1000,s1000_c033,551,16,True
LA_CRUZ_UC UCSC,35.713009,-121.325389,Central California,6,1000,s1000_c033,519,16,True
LECHUZA UCSB,34.03505,-118.871,Southern California,4,1000,s1000_c034,458,19,True
LECHUZA VRG,34.03186,-118.8631,Southern California,2,1000,s1000_c034,325,19,True
LITTLE_DUME_W VRG,34.00654,-118.791,Southern California,7,1000,s1000_c035,685,19,True
LITTLE_IRISH_CEN UCSC,35.17806,-120.8177,Central California,7,1000,s1000_c026,966,19,True
LITTLE_IRISH_DC UCSC,35.17593,-120.8125,Central California,10,1000,s1000_c026,936,19,True
LITTLE_IRISH_UC UCSC,35.18421,-120.8251,Central California,11,1000,s1000_c026,895,19,True
LONE_TREE UCSC,36.56642,-121.9707,Central California,10,1000,s1000_c036,1062,17,True
