outcome,axis,left_out_overlap_cluster,reference_estimate_per_sd,estimate_per_sd,absolute_change,same_direction_as_reference,n,remaining_overlap_clusters,years
mur_brier_gain,grazing_log1p,s300_c052,-0.005297162135512373,-0.00572563949019588,0.00042847735468350655,True,728,119,14
mur_brier_gain,grazing_log1p,s300_c053,-0.005297162135512373,-0.005395234184325243,9.807204881286981e-05,True,730,119,14
mur_brier_gain,grazing_log1p,s300_c054,-0.005297162135512373,-0.0035403313906538342,0.001756830744858539,True,722,119,14
mur_brier_gain,grazing_log1p,s300_c055,-0.005297162135512373,-0.004930473834727826,0.000366688300784547,True,731,119,14
mur_brier_gain,grazing_log1p,s300_c057,-0.005297162135512373,-0.006414170343594917,0.0011170082080825434,True,718,119,14
mur_brier_gain,grazing_log1p,s300_c058,-0.005297162135512373,-0.005924927486686318,0.0006277653511739447,True,724,119,14
mur_brier_gain,grazing_log1p,s300_c059,-0.005297162135512373,-0.0046452380007107625,0.0006519241348016108,True,731,119,14
mur_brier_gain,grazing_log1p,s300_c060,-0.005297162135512373,-0.005287071829239309,1.0090306273064127e-05,True,722,119,14
mur_brier_gain,grazing_log1p,s300_c061,-0.005297162135512373,-0.004951032259773302,0.00034612987573907125,True,728,119,14
mur_brier_gain,grazing_log1p,s300_c062,-0.005297162135512373,-0.0047146378092183475,0.0005825243262940257,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c063,-0.005297162135512373,-0.005022736107960161,0.0002744260275522126,True,729,119,14
mur_brier_gain,grazing_log1p,s300_c065,-0.005297162135512373,-0.005357631001286031,6.046886577365778e-05,True,725,119,14
mur_brier_gain,grazing_log1p,s300_c066,-0.005297162135512373,-0.005677699843560004,0.0003805377080476312,True,727,119,14
mur_brier_gain,grazing_log1p,s300_c067,-0.005297162135512373,-0.0051686024617055015,0.00012855967380687172,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c068,-0.005297162135512373,-0.00559031282125521,0.0002931506857428365,True,709,119,14
mur_brier_gain,grazing_log1p,s300_c069,-0.005297162135512373,-0.00490920444040761,0.0003879576951047632,True,728,119,14
mur_brier_gain,grazing_log1p,s300_c071,-0.005297162135512373,-0.004732371213862174,0.0005647909216501996,True,713,119,14
