site_id,support_m,overlap_cluster,region_group,latitude,longitude,year,annual_area_m2,annual_complete,valid_quarters,selected_quarter,pre2005_footprint_pixels,positive_reference_years,p95_annual_area_pre2005,relative_canopy,next_year_area_m2,relative_drop_next,event,eligible,canopy_lag1,canopy_lag2,canopy_2yr_change,canopy_3yr_change,canopy_3yr_mean,canopy_3yr_std,canopy_3yr_slope,canopy_drop_from_3yr_max,annual_mean_sst_mur1km,annual_max_sst_mur1km,annual_max_7day_mean_anomaly_mur1km,annual_positive_anomaly_degree_days_mur1km,annual_days_above_expanding_p90_mur1km,annual_max_consecutive_hot_days_mur1km
Caspar,1000,s1000_c019,Northern California,39.36173,-123.822,2009,11670.0,True,4,3,119,16,21924.0,0.5322933771209634,4140.0,0.6452442159383034,1,True,0.8038679073161833,0.1765644955300128,0.3557288815909505,0.4574895092136471,0.5042419266557198,0.3145910925543593,0.1778644407954753,0.3378347707671357,11.283876712328766,15.266,2.459795918367346,109.08888095238096,31.0,19.0
Caspar,1000,s1000_c019,Northern California,39.36173,-123.822,2010,4140.0,True,4,3,119,16,21924.0,0.1888341543513957,11709.0,-1.8282608695652172,0,True,0.5322933771209634,0.8038679073161833,-0.6150337529647876,0.0122696588213829,0.5083318129295141,0.3082162337391779,-0.3075168764823938,0.7650930549251022,11.360539726027396,13.971,1.5276938775510207,121.26864285714284,9.0,7.0
Caspar,1000,s1000_c019,Northern California,39.36173,-123.822,2013,15988.0,True,3,3,119,16,21924.0,0.7292464878671776,213.0,0.9866775081310984,1,True,,0.5340722495894911,0.1951742382776865,0.5404123335157819,,,,,11.55759178082192,16.211,3.605363636363637,190.03511818181815,66.0,23.0
Caspar North,1000,s1000_c019,Northern California,39.364429,-123.821327,2005,1947.0,True,4,2,164,17,24734.24999999999,0.078716759149762,1640.0,0.157678479712378,0,True,0.0040834066122886,0.0,0.078716759149762,-0.0920990125029059,0.0276000552540168,0.0443154218671591,0.0393583795748809,0.0,12.011846575342467,13.552,2.803357142857144,203.76450000000003,51.0,21.0
Caspar North,1000,s1000_c019,Northern California,39.364429,-123.821327,2006,1640.0,True,4,4,164,17,24734.24999999999,0.0663048202391421,4370.0,-1.6646341463414631,0,True,0.078716759149762,0.0040834066122886,0.0622214136268534,0.0663048202391421,0.0497016620003975,0.039991036187767,0.0311107068134267,0.157678479712378,12.090742465753422,14.443,2.6964999999999995,220.241,76.0,28.0
Caspar North,1000,s1000_c019,Northern California,39.364429,-123.821327,2007,4370.0,True,4,3,164,17,24734.24999999999,0.1766780880762506,17787.0,-3.07025171624714,0,True,0.0663048202391421,0.078716759149762,0.0979613289264886,0.172594681463962,0.1072332224883849,0.0604603677979864,0.0489806644632443,0.0,11.5524,15.493,3.187028571428572,170.06045,70.0,36.0
Caspar North,1000,s1000_c019,Northern California,39.364429,-123.821327,2008,17787.0,True,4,3,164,17,24734.24999999999,0.7191242912156224,12283.0,0.3094394782706471,1,True,0.1766780880762506,0.0663048202391421,0.6528194709764803,0.6404075320658604,0.3207023998436717,0.3494289158134489,0.32640973548824,0.0,10.916289617486338,14.707,2.3405714285714287,90.45223333333334,39.0,27.0
Caspar North,1000,s1000_c019,Northern California,39.364429,-123.821327,2009,12283.0,True,4,3,164,17,24734.24999999999,0.4965988457301113,4630.0,0.6230562566148335,1,True,0.7191242912156224,0.1766780880762506,0.3199207576538607,0.4302940254909692,0.4641337416739948,0.2726764714109214,0.1599603788269304,0.3094394782706471,11.283876712328766,15.266,2.459795918367346,109.08888095238096,31.0,19.0
Caspar North,1000,s1000_c019,Northern California,39.364429,-123.821327,2010,4630.0,True,4,3,164,17,24734.24999999999,0.1871898278702609,15111.0,-2.2637149028077754,0,True,0.4965988457301113,0.7191242912156224,-0.5319344633453614,0.0105117397940103,0.4676376549386649,0.2671472089554247,-0.2659672316726806,0.7396975319053242,11.360539726027396,13.971,1.5276938775510207,121.26864285714284,9.0,7.0
Caspar North,1000,s1000_c019,Northern California,39.364429,-123.821327,2013,22592.0,True,3,3,164,17,24734.24999999999,0.913389328562621,213.0,0.9905718838526912,1,True,,0.610934230874193,0.302455097688428,0.7261995006923601,,,,,11.55759178082192,16.211,3.605363636363637,190.03511818181815,66.0,23.0
DEEP_HOLE_EAST VRG,1000,s1000_c017,Southern California,34.04518,-118.9604,2004,190682.0,True,4,2,752,21,161675.0,1.1794154940466983,82255.0,0.5686273481503236,1,True,0.5992515849698469,0.4501314365238905,0.729284057522808,0.8812989021184474,0.7429328385134787,0.3852882506697222,0.3646420287614038,0.0,16.632382513661202,21.874,4.369714285714285,330.73400000000004,55.0,33.0
DEEP_HOLE_EAST VRG,1000,s1000_c017,Southern California,34.04518,-118.9604,2005,82255.0,True,4,2,752,21,161675.0,0.5087675892995206,5313.0,0.9354081818734424,1,True,1.1794154940466983,0.5992515849698469,-0.0904839956703262,0.05863615277563,0.7624782227720219,0.3639015725461995,-0.0452419978351629,0.5686273481503236,16.131739726027398,19.679,1.7021428571428578,127.13033333333334,28.0,7.0
DEEP_HOLE_EAST VRG,1000,s1000_c017,Southern California,34.04518,-118.9604,2007,20465.0,True,4,4,752,21,161675.0,0.1265811040668006,64737.0,-2.163303200586367,0,True,0.0328622235967218,0.5087675892995206,-0.3821864852327199,-1.052834389979898,0.2227369723210143,0.2521030395016486,-0.19109324261636,0.7512005349218892,16.172621917808222,20.935,1.8507428571428584,105.40190000000004,59.0,32.0
DEEP_HOLE_EAST VRG,1000,s1000_c017,Southern California,34.04518,-118.9604,2008,64737.0,True,4,2,752,21,161675.0,0.4004144116282666,74606.0,-0.1524475956562707,0,True,0.1265811040668006,0.0328622235967218,0.3675521880315447,-0.108353177671254,0.1866192464305963,0.1909897553157378,0.1837760940157723,0.0,16.443784153005463,21.532,2.7692142857142863,191.9507333333333,75.0,54.0
DEEP_HOLE_EAST VRG,1000,s1000_c017,Southern California,34.04518,-118.9604,2009,74606.0,True,4,2,752,21,161675.0,0.4614566259471161,47347.0,0.3653727582231992,1,True,0.4004144116282666,0.1265811040668006,0.3348755218803154,0.4285944023503943,0.3294840472140611,0.1783500525248094,0.1674377609401577,0.0,16.650761643835615,21.284,2.5331666666666672,201.17230952380956,59.0,32.0
