site_id,site_latitude,site_longitude,mur_latitude,mur_longitude,mur_match_distance_km,mapping_radius_degrees
SCI_HAZARDS_CEN UCSB,34.05658,-119.8212,34.06,-119.82,0.3960287030494389,0.05
SCI_HAZARDS_W UCSB,34.0581,-119.8248,34.06,-119.82,0.4900593435469746,0.05
SCI_POTATO_PASTURE_E UCSB,34.05098,-119.5759,34.05,-119.58,0.3931375762209345,0.05
SCI_SCORPION_E UCSB,34.04847,-119.5464,34.05,-119.55,0.3727610269508805,0.05
SCI_SCORPION_W UCSB,34.0525,-119.5553,34.05,-119.56,0.5145606000119147,0.05
SCI_VALLEY_E UCSB,33.98355,-119.6203,33.98,-119.62,0.3957105279886195,0.05
SCI_VALLEY_W UCSB,33.9817,-119.6637,33.98,-119.66,0.3900304983198168,0.05
SCI_YELLOWBANKS_CEN UCSB,33.98853,-119.547,33.99,-119.55,0.3212786108722216,0.05
SCI_YELLOWBANKS_W UCSB,33.9893,-119.5649,33.99,-119.56,0.4584174564791256,0.05
SIREN UCSC,36.63073,-121.9186,36.63,-121.91,0.7716951884666189,0.05
SMI_CROOK_POINT_E UCSB,34.01587,-120.3305,34.02,-120.33,0.4615420107761228,0.05
SMI_CROOK_POINT_W UCSB,34.01385,-120.3373,34.01,-120.34,0.4951807215157824,0.05
SMI_CUYLER_E UCSB,34.05172,-120.3462,34.05,-120.35,0.3989280713079223,0.05
SMI_CUYLER_W UCSB,34.05705,-120.3526,34.06,-120.35,0.4061630020660552,0.05
SMI_HARRIS_PT_RESERVE_E UCSB,34.05278,-120.3374,34.05,-120.34,0.3910676834234222,0.05
SMI_HARRIS_PT_RESERVE_W UCSB,34.06368,-120.356,34.06,-120.36,0.5506484813191387,0.05
SMI_TYLER_BIGHT_E UCSB,34.02547,-120.4067,34.03,-120.41,0.58839687884433,0.05
SMI_TYLER_BIGHT_W UCSB,34.02729,-120.4117,34.03,-120.41,0.3396289242708818,0.05
SNI_BOILERS VRG,33.276,-119.6069,33.28,-119.61,0.5299782141686793,0.05
SOUTH_LA_JOLLA VRG,32.81593,-117.2837,32.82,-117.28,0.5695282421644411,0.05
SOUTH_WRECK_DC UCSC,36.22386,-121.7874,36.22,-121.79,0.488488778789305,0.05
SOUTH_WRECK_UC UCSC,36.2253,-121.7905,36.23,-121.79,0.5245377461133602,0.05
SPANISH_BAY_DC UCSC,36.61666,-121.9546,36.62,-121.95,0.5536027194850328,0.05
SPANISH_BAY_UC UCSC,36.61881,-121.9538,36.62,-121.95,0.3640382796478962,0.05
SRI_CLUSTER_POINT_N UCSB,33.93167,-120.1974,33.93,-120.2,0.3033534005485343,0.05
SRI_CLUSTER_POINT_S UCSB,33.92383,-120.192,33.92,-120.19,0.4641401036528959,0.05
SRI_JOHNSONS_LEE_NORTH_E UCSB,33.90295,-120.0992,33.9,-120.1,0.3362321866099032,0.05
SRI_JOHNSONS_LEE_NORTH_W UCSB,33.9009,-120.0991,33.9,-120.1,0.1300564025366399,0.05
SRI_JOHNSONS_LEE_SOUTH_E UCSB,33.89743,-120.1004,33.9,-120.1,0.2881461384535813,0.05
SRI_JOHNSONS_LEE_SOUTH_W UCSB,33.89513,-120.1043,33.9,-120.1,0.6713804395989339,0.05
SRI_SOUTH_POINT_E UCSB,33.89157,-120.1192,33.89,-120.12,0.1895510654526697,0.05
SRI_SOUTH_POINT_W UCSB,33.89417,-120.1249,33.89,-120.12,0.6477335274318045,0.05
STILLWATER_DC UCSC,36.55973,-121.944,36.56,-121.94,0.3585223495461279,0.05
STILLWATER_UC UCSC,36.56012,-121.9473,36.56,-121.95,0.2415208523435834,0.05
STOCKTON UCSC,36.94623,-122.05,36.94,-122.05,0.6927453498552687,0.05
Salt Point,38.5649,-123.329,38.56,-123.33,0.5517496434308654,0.05
Stillwater Sonoma,38.540298,-123.288803,38.54,-123.29,0.109253679514238,0.05
Stornetta,38.93724,-123.732,38.94,-123.74,0.7569259313190313,0.05
TENERA UCSC,35.23863,-120.8955,35.24,-120.9,0.43615203959425,0.05
TERRACE_DC UCSC,36.944871,-122.064289,36.94,-122.06,0.6623103125721596,0.05
Timber Cove,38.5306,-123.277,38.53,-123.28,0.269350238188307,0.05
Trinidad,41.055,-124.14,41.05,-124.14,0.5559754011683372,0.05
