scope,domain,model,n,events,prevalence,ap,ap_lift,estimable,region_group,year,top10_k,top10_tp,top10_recall,top20_k,top20_tp,top20_recall
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,16,11,0.6875,0.9536042240587695,0.26610422405876955,True,Northern California,2008,2,2,0.18181818181818182,4,4,0.36363636363636365
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,16,15,0.9375,0.9379514004514005,0.00045140045140046325,True,Northern California,2009,2,2,0.13333333333333333,4,4,0.26666666666666666
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,15,5,0.3333333333333333,0.6866666666666666,0.35333333333333333,True,Northern California,2010,2,2,0.4,3,2,0.4
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,14,0,0.0,,,False,Northern California,2011,2,0,,3,0,
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,16,9,0.5625,0.7408609908609909,0.1783609908609909,True,Northern California,2012,2,1,0.1111111111111111,4,3,0.3333333333333333
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,16,16,1.0,,,False,Northern California,2013,2,2,0.125,4,4,0.25
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,6,6,1.0,,,False,Northern California,2014,1,1,0.16666666666666666,2,2,0.3333333333333333
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,3,2,0.6666666666666666,1.0,0.33333333333333337,True,Northern California,2016,1,1,0.5,1,1,0.5
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,1,1,1.0,,,False,Northern California,2017,1,1,1.0,1,1,1.0
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,7,7,1.0,,,False,Northern California,2021,1,1,0.14285714285714285,2,2,0.2857142857142857
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,3,2,0.6666666666666666,1.0,0.33333333333333337,True,Oregon,2005,1,1,0.5,1,1,0.5
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,5,4,0.8,0.95,0.1499999999999999,True,Oregon,2006,1,1,0.25,1,1,0.25
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,1,0,0.0,,,False,Oregon,2007,1,0,,1,0,
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,4,2,0.5,1.0,0.5,True,Oregon,2008,1,1,0.5,1,1,0.5
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,4,0,0.0,,,False,Oregon,2009,1,0,,1,0,
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,4,2,0.5,1.0,0.5,True,Oregon,2010,1,1,0.5,1,1,0.5
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,5,3,0.6,0.6388888888888888,0.03888888888888886,True,Oregon,2011,1,0,0.0,1,0,0.0
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,3,0,0.0,,,False,Oregon,2012,1,0,,1,0,
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,5,4,0.8,0.8875,0.08749999999999991,True,Oregon,2013,1,1,0.25,1,1,0.25
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,5,2,0.4,0.5833333333333333,0.18333333333333324,True,Oregon,2014,1,0,0.0,1,0,0.0
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,4,1,0.25,0.25,0.0,True,Oregon,2015,1,0,0.0,1,0,0.0
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,4,0,0.0,,,False,Oregon,2016,1,0,,1,0,
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,5,3,0.6,0.8055555555555556,0.2055555555555556,True,Oregon,2017,1,1,0.3333333333333333,1,1,0.3333333333333333
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,3,3,1.0,,,False,Oregon,2018,1,1,0.3333333333333333,1,1,0.3333333333333333
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2,0,0.0,,,False,Oregon,2019,1,0,,1,0,
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,4,3,0.75,1.0,0.25,True,Oregon,2020,1,1,0.3333333333333333,1,1,0.3333333333333333
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,3,1,0.3333333333333333,0.5,0.16666666666666669,True,Oregon,2021,1,0,0.0,1,0,0.0
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2,1,0.5,1.0,0.5,True,Oregon,2022,1,1,1.0,1,1,1.0
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2,1,0.5,1.0,0.5,True,Oregon,2023,1,1,1.0,1,1,1.0
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2,1,0.5,1.0,0.5,True,Oregon,2024,1,1,1.0,1,1,1.0
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,50,33,0.66,0.6725837127033663,0.012583712703366223,True,Southern California,2005,5,3,0.09090909090909091,10,7,0.21212121212121213
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,41,7,0.17073170731707318,0.8218210361067504,0.6510893287896772,True,Southern California,2006,5,4,0.5714285714285714,9,5,0.7142857142857143
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,50,24,0.48,0.6061612509895093,0.12616125098950937,True,Southern California,2007,5,4,0.16666666666666666,10,7,0.2916666666666667
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,50,12,0.24,0.35084059143799246,0.11084059143799246,True,Southern California,2008,5,2,0.16666666666666666,10,2,0.16666666666666666
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,49,11,0.22448979591836735,0.42787046746674073,0.2033806715483734,True,Southern California,2009,5,2,0.18181818181818182,10,6,0.5454545454545454
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,49,31,0.6326530612244898,0.6603660085159169,0.027712947291427037,True,Southern California,2010,5,4,0.12903225806451613,10,6,0.1935483870967742
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,47,26,0.5531914893617021,0.6482088568757552,0.0950173675140531,True,Southern California,2011,5,3,0.11538461538461539,10,7,0.2692307692307692
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,45,3,0.06666666666666667,0.13992673992673993,0.07326007326007326,True,Southern California,2012,5,0,0.0,9,0,0.0
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,52,43,0.8269230769230769,0.8378696619438424,0.010946585020765509,True,Southern California,2013,6,5,0.11627906976744186,11,9,0.20930232558139536
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,43,23,0.5348837209302325,0.6998143138824926,0.1649305929522601,True,Southern California,2014,5,4,0.17391304347826086,9,5,0.21739130434782608
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,34,14,0.4117647058823529,0.8005116440515601,0.38874693816920713,True,Southern California,2015,4,4,0.2857142857142857,7,5,0.35714285714285715
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,35,8,0.22857142857142856,0.5506143162393162,0.3220428876678877,True,Southern California,2016,4,3,0.375,7,3,0.375
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,40,9,0.225,0.4005643324483904,0.1755643324483904,True,Southern California,2017,4,2,0.2222222222222222,8,2,0.2222222222222222
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,45,37,0.8222222222222222,0.9305768985172027,0.10835467629498052,True,Southern California,2018,5,5,0.13513513513513514,9,9,0.24324324324324326
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,26,8,0.3076923076923077,0.4643759018759019,0.15668359418359418,True,Southern California,2019,3,1,0.125,6,3,0.375
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,39,13,0.3333333333333333,0.36883319295084005,0.035499859617506735,True,Southern California,2020,4,1,0.07692307692307693,8,2,0.15384615384615385
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,40,12,0.3,0.7668059240639886,0.46680592406398863,True,Southern California,2021,4,4,0.3333333333333333,8,6,0.5
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,41,27,0.6585365853658537,0.7099272350364474,0.0513906496705937,True,Southern California,2022,5,4,0.14814814814814814,9,5,0.18518518518518517
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,29,1,0.034482758620689655,1.0,0.9655172413793104,True,Southern California,2023,3,1,1.0,6,1,1.0
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,37,9,0.24324324324324326,0.29480343869589837,0.05156019545265511,True,Southern California,2024,4,0,0.0,8,1,0.1111111111111111
