domain,model,omitted_year,macro_year_ap_lift,macro_region_year_ap_lift
upwelling_supported_domain,current_plus_trajectory,2007,0.16902192277287933,0.18436347146482251
upwelling_supported_domain,current_plus_trajectory,2008,0.1607329141310358,0.18123940828814558
upwelling_supported_domain,current_plus_trajectory,2009,0.17651478175103283,0.18839509681477004
upwelling_supported_domain,current_plus_trajectory,2010,0.17403434842789514,0.18019892805208715
upwelling_supported_domain,current_plus_trajectory,2011,0.1759873018470671,0.18885775895853496
upwelling_supported_domain,current_plus_trajectory,2012,0.15700054652209786,0.18664979324409012
upwelling_supported_domain,current_plus_trajectory,2013,0.17786919920154642,0.19152774112343396
upwelling_supported_domain,current_plus_trajectory,2014,0.17387280067757246,0.18593692065202239
upwelling_supported_domain,current_plus_trajectory,2015,0.1683921068498102,0.18459077372798202
upwelling_supported_domain,current_plus_trajectory,2016,0.1611879999952157,0.17637990744647172
upwelling_supported_domain,current_plus_trajectory,2017,0.17170436479815918,0.1881049080347076
upwelling_supported_domain,current_plus_trajectory,2018,0.177176299373357,0.18996306462197948
upwelling_supported_domain,current_plus_trajectory,2019,0.17188135880122885,0.18270414961963355
upwelling_supported_domain,current_plus_trajectory,2020,0.17558152956422518,0.187891407357926
upwelling_supported_domain,current_plus_trajectory,2021,0.171971493205864,0.1859192518344852
upwelling_supported_domain,current_plus_trajectory,2022,0.1748794772129279,0.18369029177975274
upwelling_supported_domain,current_plus_trajectory,2023,0.1684412632406804,0.1765856561326602
upwelling_supported_domain,current_plus_trajectory,2024,0.17512284879967674,0.18267199154007938
upwelling_supported_domain,trajectory_plus_oisst,2005,0.16674362346215404,0.19995473194837712
upwelling_supported_domain,trajectory_plus_oisst,2006,0.15555182437431903,0.179862254961104
upwelling_supported_domain,trajectory_plus_oisst,2007,0.16057970808249256,0.19520840700433076
upwelling_supported_domain,trajectory_plus_oisst,2008,0.15405627916260636,0.191200172396511
upwelling_supported_domain,trajectory_plus_oisst,2009,0.16912699116142496,0.19920093349019158
upwelling_supported_domain,trajectory_plus_oisst,2010,0.1655242224509831,0.19195197966003516
