scope,domain,model,n,events,prevalence,ap,ap_lift,estimable,year,top10_k,top10_tp,top10_recall,top20_k,top20_tp,top20_recall
year,upwelling_supported_domain,current_plus_trajectory,102,61,0.5980392156862745,0.7073890457665115,0.10934983008023702,True,2010,11,8,0.13114754098360656,21,14,0.22950819672131148
year,upwelling_supported_domain,current_plus_trajectory,96,30,0.3125,0.3847437151159694,0.07224371511596939,True,2011,10,3,0.1,20,9,0.3
year,upwelling_supported_domain,current_plus_trajectory,98,12,0.12244897959183673,0.5554410458822223,0.43299206629038556,True,2012,10,7,0.5833333333333334,20,9,0.75
year,upwelling_supported_domain,current_plus_trajectory,107,88,0.822429906542056,0.8589175719229188,0.03648766538086279,True,2013,11,10,0.11363636363636363,22,19,0.2159090909090909
year,upwelling_supported_domain,current_plus_trajectory,87,32,0.367816091954023,0.48023532929039003,0.11241923733636705,True,2014,9,5,0.15625,18,6,0.1875
year,upwelling_supported_domain,current_plus_trajectory,72,22,0.3055555555555556,0.5221079756194056,0.21655242006385,True,2015,8,5,0.22727272727272727,15,6,0.2727272727272727
year,upwelling_supported_domain,current_plus_trajectory,76,32,0.42105263157894735,0.7744830818800932,0.35343045030114584,True,2016,8,7,0.21875,16,12,0.375
year,upwelling_supported_domain,current_plus_trajectory,80,13,0.1625,0.3161195190452197,0.15361951904521967,True,2017,8,2,0.15384615384615385,16,4,0.3076923076923077
year,upwelling_supported_domain,current_plus_trajectory,82,72,0.8780487804878049,0.9277015426042665,0.049652762116461635,True,2018,9,9,0.125,17,16,0.2222222222222222
year,upwelling_supported_domain,current_plus_trajectory,57,8,0.14035087719298245,0.29060751017987857,0.15025663298689612,True,2019,6,2,0.25,12,4,0.5
year,upwelling_supported_domain,current_plus_trajectory,77,25,0.3246753246753247,0.40462871316529064,0.07995338848996597,True,2020,8,4,0.16,16,6,0.24
year,upwelling_supported_domain,current_plus_trajectory,83,21,0.25301204819277107,0.4015561274915995,0.14854407929882846,True,2021,9,6,0.2857142857142857,17,7,0.3333333333333333
year,upwelling_supported_domain,current_plus_trajectory,77,61,0.7922077922077922,0.8855001753724066,0.0932923831646143,True,2022,8,8,0.13114754098360656,16,14,0.22950819672131148
year,upwelling_supported_domain,current_plus_trajectory,53,3,0.05660377358490566,0.2722222222222222,0.21561844863731655,True,2023,6,1,0.3333333333333333,11,2,0.6666666666666666
year,upwelling_supported_domain,current_plus_trajectory,70,11,0.15714285714285714,0.24581118015924347,0.08866832301638633,True,2024,7,1,0.09090909090909091,14,4,0.36363636363636365
year,upwelling_supported_domain,trajectory_plus_oisst,89,53,0.5955056179775281,0.6697901227631887,0.07428450478566062,True,2005,9,7,0.1320754716981132,18,11,0.20754716981132076
year,upwelling_supported_domain,trajectory_plus_oisst,85,14,0.16470588235294117,0.45163456980746697,0.2869286874545258,True,2006,9,4,0.2857142857142857,17,7,0.5
year,upwelling_supported_domain,trajectory_plus_oisst,101,31,0.3069306930693069,0.49832959006853556,0.19139889699922863,True,2007,11,8,0.25806451612903225,21,10,0.3225806451612903
year,upwelling_supported_domain,trajectory_plus_oisst,103,28,0.27184466019417475,0.5871887066712409,0.31534404647706615,True,2008,11,8,0.2857142857142857,21,13,0.4642857142857143
year,upwelling_supported_domain,trajectory_plus_oisst,103,44,0.42718446601941745,0.4561849845189306,0.029000518499513128,True,2009,11,5,0.11363636363636363,21,9,0.20454545454545456
year,upwelling_supported_domain,trajectory_plus_oisst,102,61,0.5980392156862745,0.6954923396841828,0.09745312399790829,True,2010,11,8,0.13114754098360656,21,14,0.22950819672131148
year,upwelling_supported_domain,trajectory_plus_oisst,96,30,0.3125,0.40070713844696404,0.08820713844696404,True,2011,10,3,0.1,20,10,0.3333333333333333
year,upwelling_supported_domain,trajectory_plus_oisst,98,12,0.12244897959183673,0.5611242085775802,0.4386752289857434,True,2012,10,6,0.5,20,9,0.75
year,upwelling_supported_domain,trajectory_plus_oisst,107,88,0.822429906542056,0.8448232469910518,0.02239334044899577,True,2013,11,9,0.10227272727272728,22,18,0.20454545454545456
year,upwelling_supported_domain,trajectory_plus_oisst,87,32,0.367816091954023,0.5187920460743283,0.1509759541203053,True,2014,9,5,0.15625,18,9,0.28125
year,upwelling_supported_domain,trajectory_plus_oisst,72,22,0.3055555555555556,0.5492336132286602,0.24367805767310458,True,2015,8,5,0.22727272727272727,15,6,0.2727272727272727
year,upwelling_supported_domain,trajectory_plus_oisst,76,32,0.42105263157894735,0.7375102810332087,0.31645764945426136,True,2016,8,7,0.21875,16,13,0.40625
year,upwelling_supported_domain,trajectory_plus_oisst,80,13,0.1625,0.3640872074216995,0.20158720742169947,True,2017,8,2,0.15384615384615385,16,5,0.38461538461538464
year,upwelling_supported_domain,trajectory_plus_oisst,82,72,0.8780487804878049,0.9412637931671479,0.06321501267934304,True,2018,9,9,0.125,17,16,0.2222222222222222
year,upwelling_supported_domain,trajectory_plus_oisst,57,8,0.14035087719298245,0.24074221750893482,0.10039134031595237,True,2019,6,1,0.125,12,4,0.5
year,upwelling_supported_domain,trajectory_plus_oisst,77,25,0.3246753246753247,0.4305556054920263,0.10588028081670164,True,2020,8,3,0.12,16,5,0.2
year,upwelling_supported_domain,trajectory_plus_oisst,83,21,0.25301204819277107,0.4527320846565992,0.19972003646382813,True,2021,9,5,0.23809523809523808,17,8,0.38095238095238093
year,upwelling_supported_domain,trajectory_plus_oisst,77,61,0.7922077922077922,0.8615376301895861,0.06932983798179382,True,2022,8,7,0.11475409836065574,16,14,0.22950819672131148
year,upwelling_supported_domain,trajectory_plus_oisst,53,3,0.05660377358490566,0.2418300653594771,0.18522629177457145,True,2023,6,1,0.3333333333333333,11,1,0.3333333333333333
year,upwelling_supported_domain,trajectory_plus_oisst,70,11,0.15714285714285714,0.21940905291227736,0.06226619576942022,True,2024,7,1,0.09090909090909091,14,3,0.2727272727272727
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,89,53,0.5955056179775281,0.6752326621756305,0.07972704419810239,True,2005,9,6,0.11320754716981132,18,12,0.22641509433962265
