target,evaluation_subset,current_canopy_threshold,feature_set,model,split,n_observations,n_positive_events,event_prevalence,precision,recall,f1,pr_auc,roc_auc,accuracy,true_negatives,false_positives,false_negatives,true_positives
decline_event_next,current_canopy_gt_0.05,0.05,canopy_only,Random Forest,test,93,45,0.4838709677419355,0.6,0.4,0.48,0.6334350794537679,0.6148148148148148,0.5806451612903226,36,12,27,18
decline_event_next,current_canopy_gt_0.05,0.05,canopy_only,XGBoost,test,93,45,0.4838709677419355,0.6086956521739131,0.3111111111111111,0.4117647058823529,0.5767853367081317,0.5523148148148148,0.5698924731182796,39,9,31,14
decline_event_next,current_canopy_gt_0.05,0.05,canopy_only,LightGBM,test,93,45,0.4838709677419355,0.5555555555555556,0.2222222222222222,0.31746031746031744,0.5662941159388064,0.5763888888888888,0.5376344086021505,40,8,35,10
decline_event_next,current_canopy_gt_0.05,0.05,oisst_only,Logistic Regression,test,93,45,0.4838709677419355,0.5,0.2222222222222222,0.3076923076923077,0.5478006976966443,0.5634259259259259,0.5161290322580645,38,10,35,10
decline_event_next,current_canopy_gt_0.05,0.05,oisst_only,SVM,test,93,45,0.4838709677419355,0.0,0.0,0.0,0.4299014965421025,0.34074074074074073,0.5161290322580645,48,0,45,0
decline_event_next,current_canopy_gt_0.05,0.05,oisst_only,Random Forest,test,93,45,0.4838709677419355,0.35,0.15555555555555556,0.2153846153846154,0.41392234256366867,0.3453703703703704,0.45161290322580644,35,13,38,7
decline_event_next,current_canopy_gt_0.05,0.05,oisst_only,XGBoost,test,93,45,0.4838709677419355,0.38461538461538464,0.2222222222222222,0.28169014084507044,0.41780827419976485,0.324537037037037,0.45161290322580644,32,16,35,10
decline_event_next,current_canopy_gt_0.05,0.05,oisst_only,LightGBM,test,93,45,0.4838709677419355,0.30303030303030304,0.2222222222222222,0.2564102564102564,0.41949750024030197,0.31388888888888883,0.3763440860215054,25,23,35,10
decline_event_next,current_canopy_gt_0.05,0.05,canopy_noaa,Logistic Regression,test,93,45,0.4838709677419355,0.5,0.3333333333333333,0.4,0.4972518812042656,0.525,0.5161290322580645,33,15,30,15
decline_event_next,current_canopy_gt_0.05,0.05,canopy_noaa,SVM,test,93,45,0.4838709677419355,0.0,0.0,0.0,0.5326097796023883,0.55,0.5161290322580645,48,0,45,0
decline_event_next,current_canopy_gt_0.05,0.05,canopy_noaa,Random Forest,test,93,45,0.4838709677419355,0.25,0.022222222222222223,0.04081632653061224,0.4221406715952253,0.34814814814814815,0.4946236559139785,45,3,44,1
decline_event_next,current_canopy_gt_0.05,0.05,canopy_noaa,XGBoost,test,93,45,0.4838709677419355,0.41379310344827586,0.26666666666666666,0.32432432432432434,0.47809548544867697,0.41759259259259257,0.46236559139784944,31,17,33,12
decline_event_next,current_canopy_gt_0.05,0.05,canopy_noaa,LightGBM,test,93,45,0.4838709677419355,0.47619047619047616,0.2222222222222222,0.30303030303030304,0.46104448813894583,0.43240740740740746,0.5053763440860215,37,11,35,10
decline_event_next,current_canopy_gt_0.1,0.1,canopy_only,Logistic Regression,test,61,29,0.47540983606557374,0.5,0.2413793103448276,0.32558139534883723,0.49421651642602266,0.45150862068965514,0.5245901639344263,25,7,22,7
decline_event_next,current_canopy_gt_0.1,0.1,canopy_only,SVM,test,61,29,0.47540983606557374,0.0,0.0,0.0,0.47804460409850486,0.4816810344827587,0.5245901639344263,32,0,29,0
decline_event_next,current_canopy_gt_0.1,0.1,canopy_only,Random Forest,test,61,29,0.47540983606557374,0.6666666666666666,0.3448275862068966,0.45454545454545453,0.6162354825347284,0.5894396551724138,0.6065573770491803,27,5,19,10
decline_event_next,current_canopy_gt_0.1,0.1,canopy_only,XGBoost,test,61,29,0.47540983606557374,0.6,0.3103448275862069,0.4090909090909091,0.5587446678307969,0.6002155172413793,0.5737704918032787,26,6,20,9
decline_event_next,current_canopy_gt_0.1,0.1,canopy_only,LightGBM,test,61,29,0.47540983606557374,0.6666666666666666,0.27586206896551724,0.3902439024390244,0.5592765560874844,0.5657327586206896,0.5901639344262295,28,4,21,8
decline_event_next,current_canopy_gt_0.1,0.1,oisst_only,Logistic Regression,test,61,29,0.47540983606557374,0.5,0.20689655172413793,0.2926829268292683,0.5735477401572879,0.6373922413793103,0.5245901639344263,26,6,23,6
decline_event_next,current_canopy_gt_0.1,0.1,oisst_only,SVM,test,61,29,0.47540983606557374,0.0,0.0,0.0,0.3574103559951711,0.2322198275862069,0.5245901639344263,32,0,29,0
decline_event_next,current_canopy_gt_0.1,0.1,oisst_only,Random Forest,test,61,29,0.47540983606557374,0.2727272727272727,0.10344827586206896,0.15,0.35790599108660376,0.22467672413793102,0.4426229508196721,24,8,26,3
decline_event_next,current_canopy_gt_0.1,0.1,oisst_only,XGBoost,test,61,29,0.47540983606557374,0.2857142857142857,0.13793103448275862,0.18604651162790697,0.35673708011095756,0.24622844827586204,0.4262295081967213,22,10,25,4
decline_event_next,current_canopy_gt_0.1,0.1,oisst_only,LightGBM,test,61,29,0.47540983606557374,0.25,0.13793103448275862,0.17777777777777778,0.34916078310920207,0.2322198275862069,0.39344262295081966,20,12,25,4
decline_event_next,current_canopy_gt_0.1,0.1,canopy_noaa,Logistic Regression,test,61,29,0.47540983606557374,0.46153846153846156,0.20689655172413793,0.2857142857142857,0.5039587492133347,0.540948275862069,0.5081967213114754,25,7,23,6
decline_event_next,current_canopy_gt_0.1,0.1,canopy_noaa,SVM,test,61,29,0.47540983606557374,0.0,0.0,0.0,0.5705229249825008,0.6293103448275862,0.5245901639344263,32,0,29,0
decline_event_next,current_canopy_gt_0.1,0.1,canopy_noaa,Random Forest,test,61,29,0.47540983606557374,0.4,0.06896551724137931,0.11764705882352941,0.4131071489393002,0.32112068965517243,0.5081967213114754,29,3,27,2
decline_event_next,current_canopy_gt_0.1,0.1,canopy_noaa,XGBoost,test,61,29,0.47540983606557374,0.6,0.20689655172413793,0.3076923076923077,0.47386404785356123,0.47413793103448276,0.5573770491803278,28,4,23,6
decline_event_next,current_canopy_gt_0.1,0.1,canopy_noaa,LightGBM,test,61,29,0.47540983606557374,0.36363636363636365,0.13793103448275862,0.2,0.45870604119085956,0.3739224137931035,0.47540983606557374,25,7,25,4
