year,split,current_reference_state,next_reference_state,count,row_total,transition_probability,overall_share
2004,train,lower_mid_p25_p50,upper_mid_p50_p75,2,16,0.125000,0.040000
2004,train,upper_mid_p50_p75,high_above_p75,1,11,0.090909,0.020000
2004,train,upper_mid_p50_p75,low_below_p25,3,11,0.272727,0.060000
2004,train,upper_mid_p50_p75,lower_mid_p25_p50,3,11,0.272727,0.060000
2004,train,upper_mid_p50_p75,upper_mid_p50_p75,4,11,0.363636,0.080000
2005,train,high_above_p75,low_below_p25,1,8,0.125000,0.020000
2005,train,high_above_p75,lower_mid_p25_p50,5,8,0.625000,0.100000
2005,train,high_above_p75,upper_mid_p50_p75,2,8,0.250000,0.040000
2005,train,low_below_p25,low_below_p25,13,21,0.619048,0.260000
2005,train,low_below_p25,lower_mid_p25_p50,7,21,0.333333,0.140000
2005,train,low_below_p25,upper_mid_p50_p75,1,21,0.047619,0.020000
2005,train,lower_mid_p25_p50,low_below_p25,5,9,0.555556,0.100000
2005,train,lower_mid_p25_p50,lower_mid_p25_p50,4,9,0.444444,0.080000
2005,train,upper_mid_p50_p75,low_below_p25,7,12,0.583333,0.140000
2005,train,upper_mid_p50_p75,lower_mid_p25_p50,4,12,0.333333,0.080000
2005,train,upper_mid_p50_p75,upper_mid_p50_p75,1,12,0.083333,0.020000
2006,train,low_below_p25,high_above_p75,4,26,0.153846,0.080000
2006,train,low_below_p25,lower_mid_p25_p50,9,26,0.346154,0.180000
2006,train,low_below_p25,upper_mid_p50_p75,13,26,0.500000,0.260000
2006,train,lower_mid_p25_p50,high_above_p75,4,20,0.200000,0.080000
2006,train,lower_mid_p25_p50,low_below_p25,2,20,0.100000,0.040000
2006,train,lower_mid_p25_p50,lower_mid_p25_p50,6,20,0.300000,0.120000
2006,train,lower_mid_p25_p50,upper_mid_p50_p75,8,20,0.400000,0.160000
2006,train,upper_mid_p50_p75,high_above_p75,2,4,0.500000,0.040000
2006,train,upper_mid_p50_p75,lower_mid_p25_p50,1,4,0.250000,0.020000
2006,train,upper_mid_p50_p75,upper_mid_p50_p75,1,4,0.250000,0.020000
2007,train,high_above_p75,high_above_p75,5,10,0.500000,0.100000
2007,train,high_above_p75,low_below_p25,2,10,0.200000,0.040000
2007,train,high_above_p75,lower_mid_p25_p50,1,10,0.100000,0.020000
2007,train,high_above_p75,upper_mid_p50_p75,2,10,0.200000,0.040000
2007,train,low_below_p25,high_above_p75,1,2,0.500000,0.020000
2007,train,low_below_p25,upper_mid_p50_p75,1,2,0.500000,0.020000
