label_target,feature_set,model,split,evaluation_type,year,budget_type,budget_value,k_selected,n_candidates,n_positive,base_prevalence,hits,false_alerts,missed_declines,precision_at_k,recall_at_k,false_discovery_rate_at_k,lift_at_k,expected_random_hits,enrichment_over_random
decline_event_next,canopy_only,Random Forest,test,pooled_topk,,percent,0.1,20,200,134,0.67,20,0,114,1.0,0.14925373134328357,0.0,1.4925373134328357,13.4,1.4925373134328357
decline_event_next,canopy_only,Random Forest,test,pooled_topk,,percent,0.2,40,200,134,0.67,40,0,94,1.0,0.29850746268656714,0.0,1.4925373134328357,26.8,1.4925373134328357
decline_event_next,canopy_only,Random Forest,test,pooled_topk,,percent,0.3,60,200,134,0.67,56,4,78,0.9333333333333333,0.417910447761194,0.06666666666666667,1.3930348258706466,40.2,1.3930348258706466
decline_event_next,canopy_only,Random Forest,test,pooled_topk,,percent,0.4,80,200,134,0.67,73,7,61,0.9125,0.5447761194029851,0.0875,1.3619402985074627,53.6,1.3619402985074627
decline_event_next,canopy_only,Random Forest,test,pooled_topk,,percent,0.5,100,200,134,0.67,86,14,48,0.86,0.6417910447761194,0.14,1.2835820895522387,67.0,1.2835820895522387
decline_event_next,canopy_only,SVM,test,pooled_topk,,fixed_k,5.0,5,200,134,0.67,5,0,129,1.0,0.03731343283582089,0.0,1.4925373134328357,3.35,1.4925373134328357
decline_event_next,canopy_only,SVM,test,pooled_topk,,fixed_k,10.0,10,200,134,0.67,10,0,124,1.0,0.07462686567164178,0.0,1.4925373134328357,6.7,1.4925373134328357
decline_event_next,canopy_only,SVM,test,pooled_topk,,fixed_k,20.0,20,200,134,0.67,20,0,114,1.0,0.14925373134328357,0.0,1.4925373134328357,13.4,1.4925373134328357
decline_event_next,canopy_only,SVM,test,pooled_topk,,fixed_k,50.0,50,200,134,0.67,48,2,86,0.96,0.3582089552238806,0.04,1.4328358208955223,33.5,1.4328358208955223
decline_event_next,canopy_only,SVM,test,pooled_topk,,fixed_k,100.0,100,200,134,0.67,84,16,50,0.84,0.6268656716417911,0.16,1.253731343283582,67.0,1.2537313432835822
decline_event_next,canopy_only,SVM,test,pooled_topk,,percent,0.1,20,200,134,0.67,20,0,114,1.0,0.14925373134328357,0.0,1.4925373134328357,13.4,1.4925373134328357
decline_event_next,canopy_only,SVM,test,pooled_topk,,percent,0.2,40,200,134,0.67,38,2,96,0.95,0.2835820895522388,0.05,1.417910447761194,26.8,1.417910447761194
decline_event_next,canopy_only,SVM,test,pooled_topk,,percent,0.3,60,200,134,0.67,58,2,76,0.9666666666666667,0.43283582089552236,0.03333333333333333,1.4427860696517412,40.2,1.4427860696517412
decline_event_next,canopy_only,SVM,test,pooled_topk,,percent,0.4,80,200,134,0.67,72,8,62,0.9,0.5373134328358209,0.1,1.3432835820895521,53.6,1.3432835820895521
decline_event_next,canopy_only,SVM,test,pooled_topk,,percent,0.5,100,200,134,0.67,84,16,50,0.84,0.6268656716417911,0.16,1.253731343283582,67.0,1.2537313432835822
decline_event_next,canopy_only,XGBoost,test,pooled_topk,,fixed_k,5.0,5,200,134,0.67,5,0,129,1.0,0.03731343283582089,0.0,1.4925373134328357,3.35,1.4925373134328357
decline_event_next,canopy_only,XGBoost,test,pooled_topk,,fixed_k,10.0,10,200,134,0.67,10,0,124,1.0,0.07462686567164178,0.0,1.4925373134328357,6.7,1.4925373134328357
decline_event_next,canopy_only,XGBoost,test,pooled_topk,,fixed_k,20.0,20,200,134,0.67,20,0,114,1.0,0.14925373134328357,0.0,1.4925373134328357,13.4,1.4925373134328357
decline_event_next,canopy_only,XGBoost,test,pooled_topk,,fixed_k,50.0,50,200,134,0.67,47,3,87,0.94,0.35074626865671643,0.06,1.4029850746268655,33.5,1.4029850746268657
decline_event_next,canopy_only,XGBoost,test,pooled_topk,,fixed_k,100.0,100,200,134,0.67,85,15,49,0.85,0.6343283582089553,0.15,1.2686567164179103,67.0,1.2686567164179106
decline_event_next,canopy_only,XGBoost,test,pooled_topk,,percent,0.1,20,200,134,0.67,20,0,114,1.0,0.14925373134328357,0.0,1.4925373134328357,13.4,1.4925373134328357
decline_event_next,canopy_only,XGBoost,test,pooled_topk,,percent,0.2,40,200,134,0.67,39,1,95,0.975,0.291044776119403,0.025,1.4552238805970148,26.8,1.4552238805970148
decline_event_next,canopy_only,XGBoost,test,pooled_topk,,percent,0.3,60,200,134,0.67,54,6,80,0.9,0.40298507462686567,0.1,1.3432835820895521,40.2,1.3432835820895521
decline_event_next,canopy_only,XGBoost,test,pooled_topk,,percent,0.4,80,200,134,0.67,70,10,64,0.875,0.5223880597014925,0.125,1.3059701492537312,53.6,1.3059701492537312
decline_event_next,canopy_only,XGBoost,test,pooled_topk,,percent,0.5,100,200,134,0.67,85,15,49,0.85,0.6343283582089553,0.15,1.2686567164179103,67.0,1.2686567164179106
