label_target,feature_set,model,split,threshold,n_obs,n_positive,n_negative,tp,fp,tn,fn,precision,recall,specificity,false_positive_rate,f1,f2,alerts,alerts_per_100_cell_years,false_alerts_per_100_cell_years,missed_declines_per_100_true_declines
decline_event_next,canopy_noaa,XGBoost,test,0.37,200,134,66,77,20,46,57,0.7938144329896907,0.5746268656716418,0.696969696969697,0.30303030303030304,0.6666666666666667,0.608214849921011,97,48.5,10.0,42.53731343283582
decline_event_next,canopy_noaa,XGBoost,test,0.38,200,134,66,75,19,47,59,0.7978723404255319,0.5597014925373134,0.7121212121212122,0.2878787878787879,0.6578947368421052,0.5952380952380951,94,47.0,9.5,44.02985074626866
decline_event_next,canopy_noaa,XGBoost,test,0.39,200,134,66,75,17,49,59,0.8152173913043478,0.5597014925373134,0.7424242424242424,0.25757575757575757,0.663716814159292,0.5971337579617835,92,46.0,8.5,44.02985074626866
decline_event_next,canopy_noaa,XGBoost,test,0.4,200,134,66,75,16,50,59,0.8241758241758241,0.5597014925373134,0.7575757575757576,0.24242424242424243,0.6666666666666666,0.5980861244019138,91,45.5,8.0,44.02985074626866
decline_event_next,canopy_noaa,XGBoost,test,0.41,200,134,66,75,16,50,59,0.8241758241758241,0.5597014925373134,0.7575757575757576,0.24242424242424243,0.6666666666666666,0.5980861244019138,91,45.5,8.0,44.02985074626866
decline_event_next,canopy_noaa,XGBoost,test,0.42,200,134,66,74,15,51,60,0.8314606741573034,0.5522388059701493,0.7727272727272727,0.22727272727272727,0.6636771300448431,0.5920000000000001,89,44.5,7.5,44.776119402985074
decline_event_next,canopy_noaa,XGBoost,test,0.43,200,134,66,72,15,51,62,0.8275862068965517,0.5373134328358209,0.7727272727272727,0.22727272727272727,0.6515837104072398,0.5778491171749599,87,43.5,7.5,46.26865671641791
decline_event_next,canopy_noaa,XGBoost,test,0.44,200,134,66,72,13,53,62,0.8470588235294118,0.5373134328358209,0.803030303030303,0.19696969696969696,0.6575342465753425,0.5797101449275361,85,42.5,6.5,46.26865671641791
decline_event_next,canopy_noaa,XGBoost,test,0.45,200,134,66,72,11,55,62,0.8674698795180723,0.5373134328358209,0.8333333333333334,0.16666666666666666,0.6635944700460831,0.5815831987075928,83,41.5,5.5,46.26865671641791
decline_event_next,canopy_noaa,XGBoost,test,0.46,200,134,66,72,11,55,62,0.8674698795180723,0.5373134328358209,0.8333333333333334,0.16666666666666666,0.6635944700460831,0.5815831987075928,83,41.5,5.5,46.26865671641791
decline_event_next,canopy_noaa,XGBoost,test,0.47,200,134,66,72,10,56,62,0.8780487804878049,0.5373134328358209,0.8484848484848485,0.15151515151515152,0.6666666666666666,0.5825242718446603,82,41.0,5.0,46.26865671641791
decline_event_next,canopy_noaa,XGBoost,test,0.48,200,134,66,72,10,56,62,0.8780487804878049,0.5373134328358209,0.8484848484848485,0.15151515151515152,0.6666666666666666,0.5825242718446603,82,41.0,5.0,46.26865671641791
decline_event_next,canopy_noaa,XGBoost,test,0.49,200,134,66,70,10,56,64,0.875,0.5223880597014925,0.8484848484848485,0.15151515151515152,0.6542056074766355,0.568181818181818,80,40.0,5.0,47.76119402985074
decline_event_next,canopy_noaa,XGBoost,test,0.5,200,134,66,70,10,56,64,0.875,0.5223880597014925,0.8484848484848485,0.15151515151515152,0.6542056074766355,0.568181818181818,80,40.0,5.0,47.76119402985074
decline_event_next,canopy_noaa,XGBoost,test,0.51,200,134,66,69,10,56,65,0.8734177215189873,0.5149253731343284,0.8484848484848485,0.15151515151515152,0.647887323943662,0.5609756097560976,79,39.5,5.0,48.507462686567166
decline_event_next,canopy_noaa,XGBoost,test,0.52,200,134,66,68,10,56,66,0.8717948717948718,0.5074626865671642,0.8484848484848485,0.15151515151515152,0.6415094339622641,0.5537459283387622,78,39.0,5.0,49.25373134328358
decline_event_next,canopy_noaa,XGBoost,test,0.53,200,134,66,68,10,56,66,0.8717948717948718,0.5074626865671642,0.8484848484848485,0.15151515151515152,0.6415094339622641,0.5537459283387622,78,39.0,5.0,49.25373134328358
decline_event_next,canopy_noaa,XGBoost,test,0.54,200,134,66,68,10,56,66,0.8717948717948718,0.5074626865671642,0.8484848484848485,0.15151515151515152,0.6415094339622641,0.5537459283387622,78,39.0,5.0,49.25373134328358
decline_event_next,canopy_noaa,XGBoost,test,0.55,200,134,66,65,10,56,69,0.8666666666666667,0.48507462686567165,0.8484848484848485,0.15151515151515152,0.6220095693779905,0.5319148936170214,75,37.5,5.0,51.49253731343284
decline_event_next,canopy_noaa,XGBoost,test,0.56,200,134,66,61,10,56,73,0.8591549295774648,0.4552238805970149,0.8484848484848485,0.15151515151515152,0.5951219512195123,0.5024711696869852,71,35.5,5.0,54.47761194029851
decline_event_next,canopy_noaa,XGBoost,test,0.57,200,134,66,59,10,56,75,0.855072463768116,0.44029850746268656,0.8484848484848485,0.15151515151515152,0.5812807881773399,0.487603305785124,69,34.5,5.0,55.970149253731336
decline_event_next,canopy_noaa,XGBoost,test,0.58,200,134,66,57,10,56,77,0.8507462686567164,0.4253731343283582,0.8484848484848485,0.15151515151515152,0.5671641791044776,0.472636815920398,67,33.5,5.0,57.46268656716418
decline_event_next,canopy_noaa,XGBoost,test,0.59,200,134,66,57,10,56,77,0.8507462686567164,0.4253731343283582,0.8484848484848485,0.15151515151515152,0.5671641791044776,0.472636815920398,67,33.5,5.0,57.46268656716418
decline_event_next,canopy_noaa,XGBoost,test,0.6,200,134,66,54,10,56,80,0.84375,0.40298507462686567,0.8484848484848485,0.15151515151515152,0.5454545454545454,0.44999999999999996,64,32.0,5.0,59.70149253731343
decline_event_next,canopy_noaa,XGBoost,test,0.61,200,134,66,53,10,56,81,0.8412698412698413,0.39552238805970147,0.8484848484848485,0.15151515151515152,0.5380710659898477,0.44240400667779634,63,31.5,5.0,60.447761194029844
decline_event_next,canopy_noaa,XGBoost,test,0.62,200,134,66,50,10,56,84,0.8333333333333334,0.373134328358209,0.8484848484848485,0.15151515151515152,0.5154639175257731,0.4194630872483222,60,30.0,5.0,62.68656716417911
decline_event_next,canopy_noaa,XGBoost,test,0.63,200,134,66,45,10,56,89,0.8181818181818182,0.3358208955223881,0.8484848484848485,0.15151515151515152,0.47619047619047616,0.38071065989847713,55,27.500000000000004,5.0,66.4179104477612
