support_m,feature_set,year,n,events,prevalence,ap,ap_lift
1000,trajectory_plus_paper_environment,2013,50,40,0.8,0.7312117167300788,-0.06878828326992126
1000,trajectory_plus_paper_environment,2014,54,20,0.37037037037037035,0.34650749106792916,-0.023862879302441187
1000,trajectory_plus_paper_environment,2015,45,15,0.3333333333333333,0.31260198222979213,-0.020731351103541185
1000,trajectory_plus_paper_environment,2016,46,21,0.45652173913043476,0.7042159267011074,0.24769418757067269
1000,trajectory_plus_paper_environment,2017,50,14,0.28,0.3323602488532276,0.0523602488532276
1000,trajectory_plus_paper_environment,2018,56,51,0.9107142857142857,0.965123072258524,0.05440878654423831
1000,trajectory_plus_paper_environment,2019,48,12,0.25,0.6514826714521837,0.40148267145218375
1000,trajectory_plus_paper_environment,2020,47,16,0.3404255319148936,0.5065621146246317,0.16613658270973813
1000,trajectory_plus_paper_environment,2021,25,7,0.28,0.6881562881562882,0.4081562881562881
1000,trajectory_plus_paper_full,2008,103,44,0.42718446601941745,0.5857195380743296,0.15853507205491219
1000,trajectory_plus_paper_full,2009,74,21,0.28378378378378377,0.2962862938730616,0.01250251008927783
1000,trajectory_plus_paper_full,2010,85,50,0.5882352941176471,0.6843286034960798,0.09609330937843275
1000,trajectory_plus_paper_full,2011,89,26,0.29213483146067415,0.4480904498647614,0.15595561840408723
1000,trajectory_plus_paper_full,2012,66,21,0.3181818181818182,0.3902661726703396,0.07208435448852141
1000,trajectory_plus_paper_full,2013,50,40,0.8,0.7566796903025401,-0.043320309697459924
1000,trajectory_plus_paper_full,2014,54,20,0.37037037037037035,0.36749271795425503,-0.002877652416115317
1000,trajectory_plus_paper_full,2015,45,15,0.3333333333333333,0.3807308750977462,0.04739754176441291
1000,trajectory_plus_paper_full,2016,46,21,0.45652173913043476,0.6315013213200003,0.1749795821895655
1000,trajectory_plus_paper_full,2017,50,14,0.28,0.4898659468329555,0.20986594683295545
1000,trajectory_plus_paper_full,2018,56,51,0.9107142857142857,0.9785986903744865,0.06788440466020085
1000,trajectory_plus_paper_full,2019,48,12,0.25,0.6215143023805305,0.3715143023805305
1000,trajectory_plus_paper_full,2020,47,16,0.3404255319148936,0.4928932544064123,0.1524677224915187
1000,trajectory_plus_paper_full,2021,25,7,0.28,0.7204887218045113,0.44048872180451126
