evaluation_context,target,oisst_matching_variant,feature_set,model_family,model_variant,n_observations,n_positive_events,event_prevalence,precision,recall,f1,f2,pr_auc,roc_auc,false_positives,false_negatives,true_positives,true_negatives
new_decline_transition,new_decline_event_next,nearest,environment_only,XGBoost,cost_sensitive,200,26,0.13,0.0,0.0,0.0,0.0,0.10925944637154711,0.39599911582670205,16,26,0,158
new_decline_transition,new_decline_event_next,nearest,environment_only,LightGBM,cost_sensitive,200,26,0.13,0.0,0.0,0.0,0.0,0.1100443888189817,0.40373563218390807,9,26,0,165
new_decline_transition,new_decline_event_next,nearest,canopy_current_plus_environment,Logistic Regression,cost_sensitive,200,26,0.13,0.11764705882352941,0.23076923076923078,0.15584415584415584,0.1935483870967742,0.12084872039548727,0.45579133510167996,45,20,6,129
new_decline_transition,new_decline_event_next,nearest,canopy_current_plus_environment,SVM,cost_sensitive,200,26,0.13,0.0,0.0,0.0,0.0,0.14368819020251047,0.5506189213085765,2,26,0,172
new_decline_transition,new_decline_event_next,nearest,canopy_current_plus_environment,Random Forest,cost_sensitive,200,26,0.13,0.0,0.0,0.0,0.0,0.15311064140563202,0.604553492484527,2,26,0,172
new_decline_transition,new_decline_event_next,nearest,canopy_current_plus_environment,XGBoost,cost_sensitive,200,26,0.13,0.058823529411764705,0.038461538461538464,0.046511627906976744,0.04132231404958678,0.1671098324348193,0.6234526967285589,16,25,1,158
new_decline_transition,new_decline_event_next,nearest,canopy_current_plus_environment,LightGBM,cost_sensitive,200,26,0.13,0.0,0.0,0.0,0.0,0.14150235066829353,0.5760389036251106,5,26,0,169
new_decline_transition,new_decline_event_next,nearest,canopy_trajectory_only,Logistic Regression,cost_sensitive,200,26,0.13,0.2698412698412698,0.6538461538461539,0.38202247191011235,0.5089820359281437,0.47886109731379445,0.8271441202475686,46,9,17,128
new_decline_transition,new_decline_event_next,nearest,canopy_trajectory_only,SVM,cost_sensitive,200,26,0.13,0.0,0.0,0.0,0.0,0.30694263054338766,0.7758620689655171,0,26,0,174
new_decline_transition,new_decline_event_next,nearest,canopy_trajectory_only,Random Forest,cost_sensitive,200,26,0.13,0.16666666666666666,0.07692307692307693,0.10526315789473684,0.08620689655172414,0.19935889572716095,0.6511936339522546,10,24,2,164
new_decline_transition,new_decline_event_next,nearest,canopy_trajectory_only,XGBoost,cost_sensitive,200,26,0.13,0.17857142857142858,0.38461538461538464,0.24390243902439024,0.3125,0.1766043184052543,0.6158267020335986,46,16,10,128
new_decline_transition,new_decline_event_next,nearest,canopy_trajectory_only,LightGBM,cost_sensitive,200,26,0.13,0.17142857142857143,0.23076923076923078,0.19672131147540983,0.2158273381294964,0.18431580293472566,0.6257736516357206,29,20,6,145
new_decline_transition,new_decline_event_next,nearest,canopy_current_plus_trajectory,Logistic Regression,cost_sensitive,200,26,0.13,0.2962962962962963,0.6153846153846154,0.4,0.5063291139240507,0.4535279172411233,0.8326702033598585,38,10,16,136
new_decline_transition,new_decline_event_next,nearest,canopy_current_plus_trajectory,SVM,cost_sensitive,200,26,0.13,0.0,0.0,0.0,0.0,0.3275983723051579,0.8189655172413793,0,26,0,174
new_decline_transition,new_decline_event_next,nearest,canopy_current_plus_trajectory,Random Forest,cost_sensitive,200,26,0.13,0.3,0.11538461538461539,0.16666666666666666,0.13157894736842105,0.2654866198377798,0.7225906277630416,7,23,3,167
new_decline_transition,new_decline_event_next,nearest,canopy_current_plus_trajectory,XGBoost,cost_sensitive,200,26,0.13,0.26666666666666666,0.46153846153846156,0.3380281690140845,0.40268456375838924,0.24245423483593595,0.7194960212201592,33,14,12,141
new_decline_transition,new_decline_event_next,nearest,canopy_current_plus_trajectory,LightGBM,cost_sensitive,200,26,0.13,0.21875,0.2692307692307692,0.2413793103448276,0.25735294117647056,0.2321922709779764,0.7015915119363396,25,19,7,149
