target,feature_set,model_family,model_variant,model,selection_rule,threshold,precision_floor_target,precision_floor_used,precision_floor_fallback_used,validation_precision,validation_recall,validation_f1,validation_f2,test_precision,test_recall,test_f1,test_f2,test_pr_auc,test_roc_auc,test_false_positives,test_false_negatives,test_true_positives,test_true_negatives,test_predicted_positive_rate
decline_event_next,canopy_trajectory_only,SVM,cost_sensitive,SVM (cost_sensitive),max_recall_precision_ge_0.65,0.05,0.65,0.5,True,0.515,1.0,0.6798679867986799,0.8415032679738562,0.67,1.0,0.8023952095808383,0.9103260869565217,0.6355911446687399,0.4510402532790593,66,0,134,0,1.0
decline_event_next,canopy_trajectory_only,Random Forest,unweighted,Random Forest (unweighted),default_0.5,0.5,,,False,0.6363636363636364,0.13592233009708737,0.224,0.16129032258064516,0.7837837837837838,0.21641791044776118,0.3391812865497076,0.2530541012216405,0.6870377563832331,0.49468566259611035,8,105,29,58,0.185
decline_event_next,canopy_trajectory_only,Random Forest,unweighted,Random Forest (unweighted),max_f1,0.05,,,False,0.5125628140703518,0.9902912621359223,0.6754966887417219,0.8346972176759411,0.6683417085427136,0.9925373134328358,0.7987987987987988,0.9047619047619048,0.6870377563832331,0.49468566259611035,66,1,133,0,0.995
decline_event_next,canopy_trajectory_only,Random Forest,unweighted,Random Forest (unweighted),max_f2,0.05,,,False,0.5125628140703518,0.9902912621359223,0.6754966887417219,0.8346972176759411,0.6683417085427136,0.9925373134328358,0.7987987987987988,0.9047619047619048,0.6870377563832331,0.49468566259611035,66,1,133,0,0.995
decline_event_next,canopy_trajectory_only,Random Forest,unweighted,Random Forest (unweighted),recall_ge_0.70_then_max_f1,0.05,,,False,0.5125628140703518,0.9902912621359223,0.6754966887417219,0.8346972176759411,0.6683417085427136,0.9925373134328358,0.7987987987987988,0.9047619047619048,0.6870377563832331,0.49468566259611035,66,1,133,0,0.995
decline_event_next,canopy_trajectory_only,Random Forest,unweighted,Random Forest (unweighted),max_recall_precision_ge_0.65,0.4,0.65,0.65,False,0.6792452830188679,0.34951456310679613,0.46153846153846156,0.3870967741935484,0.7027027027027027,0.3880597014925373,0.5,0.4262295081967213,0.6870377563832331,0.49468566259611035,22,82,52,44,0.37
decline_event_next,canopy_trajectory_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),default_0.5,0.5,,,False,0.5862068965517241,0.1650485436893204,0.25757575757575757,0.1927437641723356,0.6666666666666666,0.23880597014925373,0.3516483516483517,0.273972602739726,0.6505678860960048,0.46336499321573954,16,102,32,50,0.24
decline_event_next,canopy_trajectory_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),max_f1,0.05,,,False,0.5125628140703518,0.9902912621359223,0.6754966887417219,0.8346972176759411,0.67,1.0,0.8023952095808383,0.9103260869565217,0.6505678860960048,0.46336499321573954,66,0,134,0,1.0
decline_event_next,canopy_trajectory_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),max_f2,0.05,,,False,0.5125628140703518,0.9902912621359223,0.6754966887417219,0.8346972176759411,0.67,1.0,0.8023952095808383,0.9103260869565217,0.6505678860960048,0.46336499321573954,66,0,134,0,1.0
decline_event_next,canopy_trajectory_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),recall_ge_0.70_then_max_f1,0.05,,,False,0.5125628140703518,0.9902912621359223,0.6754966887417219,0.8346972176759411,0.67,1.0,0.8023952095808383,0.9103260869565217,0.6505678860960048,0.46336499321573954,66,0,134,0,1.0
decline_event_next,canopy_trajectory_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),max_recall_precision_ge_0.65,0.7,0.65,0.65,False,1.0,0.019417475728155338,0.0380952380952381,0.024154589371980676,0.3333333333333333,0.007462686567164179,0.014598540145985401,0.00927643784786642,0.6505678860960048,0.46336499321573954,2,133,1,64,0.015
decline_event_next,canopy_trajectory_only,XGBoost,unweighted,XGBoost (unweighted),default_0.5,0.5,,,False,0.6666666666666666,0.17475728155339806,0.27692307692307694,0.20501138952164008,0.8,0.23880597014925373,0.367816091954023,0.2777777777777778,0.7042040002212266,0.4745590230664858,8,102,32,58,0.2
decline_event_next,canopy_trajectory_only,XGBoost,unweighted,XGBoost (unweighted),max_f1,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,0.67,1.0,0.8023952095808383,0.9103260869565217,0.7042040002212266,0.4745590230664858,66,0,134,0,1.0
decline_event_next,canopy_trajectory_only,XGBoost,unweighted,XGBoost (unweighted),max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,0.67,1.0,0.8023952095808383,0.9103260869565217,0.7042040002212266,0.4745590230664858,66,0,134,0,1.0
decline_event_next,canopy_trajectory_only,XGBoost,unweighted,XGBoost (unweighted),recall_ge_0.70_then_max_f1,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,0.67,1.0,0.8023952095808383,0.9103260869565217,0.7042040002212266,0.4745590230664858,66,0,134,0,1.0
