model,feature_set,selection_rule,selected_threshold,precision_floor_target,precision_floor_used,precision_floor_fallback_used,validation_precision,validation_recall,validation_f1,validation_f2,validation_false_positives,validation_false_negatives,test_precision,test_recall,test_f1,test_f2,test_pr_auc,test_roc_auc,test_false_positives,test_false_negatives,test_true_positives,test_true_negatives,test_predicted_positive_rate
SVM,canopy_noaa,max_f1,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,0.67,1.0,0.8023952095808383,0.9103260869565217,0.8459373329066522,0.714947987336047,66,0,134,0,1.0
SVM,canopy_noaa,max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,0.67,1.0,0.8023952095808383,0.9103260869565217,0.8459373329066522,0.714947987336047,66,0,134,0,1.0
SVM,canopy_noaa,recall_ge_0.70_then_max_f1,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,0.67,1.0,0.8023952095808383,0.9103260869565217,0.8459373329066522,0.714947987336047,66,0,134,0,1.0
SVM,canopy_noaa,max_recall_precision_ge_0.65,0.05,0.65,0.5,True,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,0.67,1.0,0.8023952095808383,0.9103260869565217,0.8459373329066522,0.714947987336047,66,0,134,0,1.0
Random Forest,canopy_noaa,default_0.5,0.5,,,False,0.5344827586206896,0.30097087378640774,0.38509316770186336,0.32978723404255317,27,72,0.925,0.27611940298507465,0.42528735632183906,0.3211805555555556,0.8306530758016963,0.674468566259611,3,97,37,63,0.2
Random Forest,canopy_noaa,max_f1,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,0.67,1.0,0.8023952095808383,0.9103260869565217,0.8306530758016963,0.674468566259611,66,0,134,0,1.0
Random Forest,canopy_noaa,max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,0.67,1.0,0.8023952095808383,0.9103260869565217,0.8306530758016963,0.674468566259611,66,0,134,0,1.0
Random Forest,canopy_noaa,recall_ge_0.70_then_max_f1,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,0.67,1.0,0.8023952095808383,0.9103260869565217,0.8306530758016963,0.674468566259611,66,0,134,0,1.0
Random Forest,canopy_noaa,max_recall_precision_ge_0.65,0.6,0.65,0.65,False,0.8571428571428571,0.17475728155339806,0.2903225806451613,0.20785219399538107,3,85,1.0,0.05223880597014925,0.09929078014184398,0.06445672191528545,0.8306530758016963,0.674468566259611,0,127,7,66,0.035
XGBoost,canopy_noaa,default_0.5,0.5,,,False,0.5185185185185185,0.4077669902912621,0.45652173913043476,0.4259634888438134,39,61,0.875,0.5223880597014925,0.6542056074766355,0.5681818181818182,0.8218494005035681,0.6640660334690185,10,64,70,56,0.4
XGBoost,canopy_noaa,max_f1,0.25,,,False,0.5177664974619289,0.9902912621359223,0.68,0.8374384236453202,95,1,0.7112676056338029,0.753731343283582,0.7318840579710145,0.7448377581120944,0.8218494005035681,0.6640660334690185,41,33,101,25,0.71
XGBoost,canopy_noaa,max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,0.67,1.0,0.8023952095808383,0.9103260869565217,0.8218494005035681,0.6640660334690185,66,0,134,0,1.0
XGBoost,canopy_noaa,recall_ge_0.70_then_max_f1,0.25,,,False,0.5177664974619289,0.9902912621359223,0.68,0.8374384236453202,95,1,0.7112676056338029,0.753731343283582,0.7318840579710145,0.7448377581120944,0.8218494005035681,0.6640660334690185,41,33,101,25,0.71
XGBoost,canopy_noaa,max_recall_precision_ge_0.65,0.65,0.65,0.65,False,0.6511627906976745,0.27184466019417475,0.3835616438356164,0.3076923076923077,15,75,0.8113207547169812,0.3208955223880597,0.45989304812834225,0.36502546689303905,0.8218494005035681,0.6640660334690185,10,91,43,56,0.265
LightGBM,canopy_noaa,default_0.5,0.5,,,False,0.55,0.42718446601941745,0.4808743169398907,0.44715447154471544,36,59,0.8947368421052632,0.3805970149253731,0.5340314136125655,0.4300168634064081,0.8155294953487338,0.6534373586612392,6,83,51,60,0.285
LightGBM,canopy_noaa,max_f1,0.05,,,False,0.5153061224489796,0.9805825242718447,0.6755852842809364,0.8305921052631579,95,2,0.6649214659685864,0.9477611940298507,0.7815384615384615,0.8734525447042641,0.8155294953487338,0.6534373586612392,64,7,127,2,0.955
LightGBM,canopy_noaa,max_f2,0.05,,,False,0.5153061224489796,0.9805825242718447,0.6755852842809364,0.8305921052631579,95,2,0.6649214659685864,0.9477611940298507,0.7815384615384615,0.8734525447042641,0.8155294953487338,0.6534373586612392,64,7,127,2,0.955
LightGBM,canopy_noaa,recall_ge_0.70_then_max_f1,0.05,,,False,0.5153061224489796,0.9805825242718447,0.6755852842809364,0.8305921052631579,95,2,0.6649214659685864,0.9477611940298507,0.7815384615384615,0.8734525447042641,0.8155294953487338,0.6534373586612392,64,7,127,2,0.955
LightGBM,canopy_noaa,max_recall_precision_ge_0.65,0.7,0.65,0.65,False,0.6666666666666666,0.27184466019417475,0.38620689655172413,0.30837004405286345,14,75,0.9130434782608695,0.15671641791044777,0.267515923566879,0.18783542039355994,0.8155294953487338,0.6534373586612392,2,113,21,64,0.115
