threshold,precision,recall,f1,f2,false_positives,false_negatives,true_positives,true_negatives,predicted_positive_rate,target,feature_set,model_family,model_variant,model,selection_split
0.2,0.5672514619883041,0.941747572815534,0.708029197080292,0.8319039451114922,74,6,97,23,0.855,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
0.25,0.6521739130434783,0.8737864077669902,0.7468879668049793,0.8181818181818182,48,13,90,49,0.69,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
0.3,0.7142857142857143,0.7281553398058253,0.7211538461538461,0.7253384912959381,30,28,75,67,0.525,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
0.35,0.7948717948717948,0.6019417475728155,0.6850828729281768,0.6326530612244898,16,41,62,81,0.39,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
0.4,0.8709677419354839,0.5242718446601942,0.6545454545454545,0.569620253164557,8,49,54,89,0.31,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
0.45,0.8679245283018868,0.44660194174757284,0.5897435897435898,0.4946236559139785,7,57,46,90,0.265,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
0.5,0.9302325581395349,0.3883495145631068,0.547945205479452,0.43956043956043955,3,63,40,94,0.215,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
0.55,0.918918918918919,0.3300970873786408,0.4857142857142857,0.37861915367483295,3,69,34,94,0.185,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
0.6,0.9259259259259259,0.24271844660194175,0.38461538461538464,0.2847380410022779,2,78,25,95,0.135,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
0.65,0.92,0.22330097087378642,0.359375,0.2631578947368421,2,80,23,95,0.125,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
0.7,0.9130434782608695,0.20388349514563106,0.3333333333333333,0.2413793103448276,2,82,21,95,0.115,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
0.75,0.9047619047619048,0.18446601941747573,0.3064516129032258,0.21939953810623555,2,84,19,95,0.105,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
0.8,0.9375,0.14563106796116504,0.25210084033613445,0.17523364485981308,1,88,15,96,0.08,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
0.85,0.9166666666666666,0.10679611650485436,0.19130434782608696,0.12971698113207547,1,92,11,96,0.06,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
0.9,1.0,0.009708737864077669,0.019230769230769232,0.012106537530266344,0,102,1,97,0.005,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
0.95,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
0.05,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,103,0,1.0,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
0.1,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,103,0,1.0,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
0.15,0.5151515151515151,0.9902912621359223,0.6777408637873754,0.8360655737704918,96,1,102,1,0.99,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
0.2,0.5177664974619289,0.9902912621359223,0.68,0.8374384236453202,95,1,102,2,0.985,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
0.25,0.5260416666666666,0.9805825242718447,0.6847457627118644,0.8360927152317881,91,2,101,6,0.96,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
0.3,0.532608695652174,0.9514563106796117,0.6829268292682927,0.8221476510067114,86,5,98,11,0.92,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
0.35,0.5549132947976878,0.9320388349514563,0.6956521739130435,0.8205128205128205,77,7,96,20,0.865,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
0.4,0.6326530612244898,0.9029126213592233,0.744,0.8318425760286225,54,10,93,43,0.735,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
0.45,0.7016129032258065,0.8446601941747572,0.7665198237885462,0.8115671641791045,37,16,87,60,0.62,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
0.5,0.7551020408163265,0.7184466019417476,0.736318407960199,0.7254901960784313,24,29,74,73,0.49,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
0.55,0.8243243243243243,0.5922330097087378,0.6892655367231638,0.6275720164609053,13,42,61,84,0.37,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
0.6,0.8688524590163934,0.5145631067961165,0.6463414634146342,0.5602536997885835,8,50,53,89,0.305,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
0.65,0.8775510204081632,0.4174757281553398,0.5657894736842105,0.46637744034707157,6,60,43,91,0.245,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
0.7,0.9210526315789473,0.33980582524271846,0.49645390070921985,0.3888888888888889,3,68,35,94,0.19,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
0.75,0.9259259259259259,0.24271844660194175,0.38461538461538464,0.2847380410022779,2,78,25,95,0.135,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
0.8,0.9166666666666666,0.21359223300970873,0.3464566929133858,0.25229357798165136,2,81,22,95,0.12,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
0.85,0.9130434782608695,0.20388349514563106,0.3333333333333333,0.2413793103448276,2,82,21,95,0.115,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
0.9,0.9285714285714286,0.1262135922330097,0.2222222222222222,0.15258215962441316,1,90,13,96,0.07,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
0.95,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),validation
